Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,189/381,.496,86/112,.768,42,506,40,164,124,25,25,65,1.91,32,6
Goodtime Brother,138/280,.493,67/86,.779,45,388,25,126,115,24,9,41,2.80,30,6
Alex's Team,167/365,.458,97/117,.829,30,461,49,184,132,24,22,57,2.32,33,6
Deng's Team,143/323,.443,78/96,.813,44,408,32,146,110,16,11,58,1.90,31,6
CWB Shams,161/349,.461,74/88,.841,61,457,34,158,92,21,22,57,1.61,32,6
达里安人阿闹,151/344,.439,76/87,.874,48,426,27,133,90,28,15,45,2.00,30,6
GiannisISmySON,155/301,.515,63/78,.808,36,409,33,175,92,22,18,36,2.56,30,6
sean's Dazzling Team,128/287,.446,63/73,.863,45,364,26,104,113,30,12,42,2.69,29,6
Kojima Production,142/314,.452,66/85,.776,44,394,17,99,103,23,7,49,2.10,31,6
Luke's Team,153/288,.531,42/51,.824,32,380,60,161,53,30,43,50,1.06,29,6
Michael Chow's Team,176/336,.524,60/75,.800,48,460,33,156,99,22,21,43,2.30,29,6
甄姬拔菜,179/360,.497,80/102,.784,33,471,65,216,88,23,32,35,2.51,34,6
TST WATER CANNON,150/332,.452,98/113,.867,30,428,34,186,111,32,15,51,2.18,32,6
离岛落得慢,149/318,.469,92/100,.920,49,439,26,111,99,23,19,37,2.68,29,6
