Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,214/452,.473,108/132,.818,47,583,56,202,143,29,20,70,2.04,45,8
CWB Shams,243/491,.495,113/132,.856,83,682,53,224,137,43,33,66,2.08,44,8
Alex's Team,249/464,.537,79/114,.693,53,630,75,267,162,37,32,85,1.91,45,8
Goodtime Brother,236/483,.489,104/135,.770,73,649,52,231,184,44,13,89,2.07,42,8
Deng's Team,249/579,.430,117/143,.818,66,681,51,228,161,27,20,96,1.68,46,8
Michael Chow's Team,248/519,.478,119/150,.793,66,681,71,285,173,45,32,82,2.11,48,8
GiannisISmySON,304/605,.502,161/212,.759,87,856,59,264,118,41,17,72,1.64,50,8
Luke's Team,181/374,.484,69/82,.841,37,468,51,198,76,40,46,40,1.90,46,8
Kojima Production,294/646,.455,137/160,.856,86,811,46,203,231,34,13,108,2.14,45,8
离岛落得慢,267/524,.510,158/178,.888,78,770,42,194,156,44,20,65,2.40,43,8
sean's Dazzling Team,176/393,.448,83/102,.814,79,514,27,166,166,29,24,59,2.81,44,8
甄姬拔菜,240/445,.539,107/141,.759,67,654,66,263,184,59,36,60,3.07,50,8
TST WATER CANNON,283/558,.507,151/189,.799,69,786,64,264,176,46,42,74,2.38,45,8
达里安人阿闹,276/582,.474,116/137,.847,85,753,58,252,136,29,24,63,2.16,50,8
