Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,247/518,.477,88/120,.733,54,636,64,240,169,39,26,76,2.22,38,13
Alex's Team,227/445,.510,71/84,.845,33,558,66,262,150,38,28,70,2.14,41,13
CWB Shams,136/299,.455,48/68,.706,49,369,32,145,94,22,22,50,1.88,32,13
Michael Chow's Team,242/472,.513,100/124,.806,83,667,54,240,185,35,42,82,2.26,42,13
Deng's Team,246/564,.436,130/174,.747,52,674,33,236,158,24,28,71,2.23,45,13
Luke's Team,147/294,.500,61/85,.718,29,384,52,182,87,35,36,32,2.72,43,13
GiannisISmySON,237/449,.528,91/118,.771,66,631,52,219,125,28,19,47,2.66,43,13
TST WATER CANNON,274/560,.489,120/143,.839,79,747,49,200,155,30,29,68,2.28,38,13
Goodtime Brother,244/508,.480,84/121,.694,65,637,46,232,151,35,16,85,1.78,47,13
sean's Dazzling Team,169/333,.508,95/109,.872,60,493,36,159,146,23,21,39,3.74,38,13
Kojima Production,231/518,.446,136/162,.840,72,670,39,202,166,29,16,68,2.44,42,13
达里安人阿闹,238/473,.503,77/90,.856,66,619,46,241,99,25,23,59,1.68,45,13
甄姬拔菜,184/386,.477,76/100,.760,52,496,42,176,150,31,22,51,2.94,45,13
离岛落得慢,224/493,.454,180/213,.845,56,684,41,180,153,44,22,80,1.91,39,13
