Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,234/450,.520,76/100,.760,41,585,62,252,154,29,27,50,3.08,42,14
Luke's Team,194/386,.503,53/78,.679,37,478,65,240,127,43,34,53,2.40,45,14
Alex's Team,195/380,.513,86/104,.827,35,511,61,219,127,24,29,69,1.84,40,14
sean's Dazzling Team,171/388,.441,53/66,.803,61,456,42,184,149,29,18,41,3.63,42,14
CWB Shams,230/480,.479,80/91,.879,88,628,45,201,133,38,32,62,2.15,38,14
离岛落得慢,178/397,.448,123/150,.820,37,516,33,138,125,31,7,57,2.19,33,14
Deng's Team,252/534,.472,146/186,.785,64,714,40,233,147,38,31,71,2.07,40,14
Kojima Production,291/575,.506,137/177,.774,97,816,55,217,177,37,16,72,2.46,42,14
GiannisISmySON,271/529,.512,114/158,.722,54,710,57,263,139,28,30,71,1.96,39,14
甄姬拔菜,135/295,.458,40/56,.714,23,333,27,139,122,29,17,33,3.70,41,14
Goodtime Brother,253/519,.487,125/156,.801,42,673,67,270,134,43,38,66,2.03,43,14
TST WATER CANNON,242/505,.479,137/172,.797,78,699,31,187,176,30,28,85,2.07,40,14
Michael Chow's Team,254/492,.516,122/147,.830,80,710,51,236,183,38,25,83,2.20,49,14
达里安人阿闹,257/501,.513,76/97,.784,81,671,47,234,152,22,29,82,1.85,43,14
