Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,240/511,.470,123/152,.809,62,665,53,208,165,29,20,85,1.94,35,1
Luke's Team,118/259,.456,60/77,.779,22,318,60,207,71,33,39,31,2.29,28,1
Alex's Team,185/378,.489,75/101,.743,39,484,37,176,107,27,22,81,1.32,32,1
sean's Dazzling Team,169/400,.423,79/98,.806,55,472,47,180,116,29,13,54,2.15,32,1
CWB Shams,215/452,.476,73/97,.753,88,591,38,159,117,45,17,65,1.80,39,1
离岛落得慢,171/352,.486,88/108,.815,46,476,23,135,95,23,19,51,1.86,26,1
Deng's Team,164/378,.434,62/85,.729,43,433,27,148,97,22,11,78,1.24,31,1
Kojima Production,137/327,.419,78/92,.848,55,407,36,135,107,29,7,59,1.81,32,1
GiannisISmySON,145/319,.455,63/82,.768,33,386,49,201,87,27,29,43,2.02,34,1
甄姬拔菜,116/251,.462,58/77,.753,23,313,55,203,66,24,23,49,1.35,33,1
Goodtime Brother,176/376,.468,59/81,.728,43,454,48,201,143,41,15,52,2.75,31,1
TST WATER CANNON,215/432,.498,96/133,.722,52,578,37,169,101,32,27,68,1.49,36,1
Michael Chow's Team,173/352,.491,78/108,.722,49,473,48,238,132,33,29,67,1.97,33,1
达里安人阿闹,158/362,.436,67/82,.817,38,421,48,183,89,38,15,55,1.62,33,1
