Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,271/550,.493,90/109,.826,61,693,36,208,172,37,18,103,1.67,43,2
达里安人阿闹,257/508,.506,135/166,.813,65,714,53,235,131,43,27,72,1.82,42,2
Alex's Team,253/506,.500,77/102,.755,60,643,69,253,166,55,20,97,1.71,43,2
CWB Shams,209/428,.488,87/111,.784,83,588,51,195,130,36,38,78,1.67,40,2
Deng's Team,232/495,.469,97/133,.729,70,631,37,202,129,36,18,78,1.65,38,2
sean's Dazzling Team,223/500,.446,118/147,.803,70,634,37,164,193,35,26,76,2.54,41,2
GiannisISmySON,230/469,.490,91/122,.746,56,607,58,229,132,24,39,64,2.06,43,2
离岛落得慢,152/334,.455,102/122,.836,58,464,34,132,84,21,13,51,1.65,32,2
Goodtime Brother,199/431,.462,77/99,.778,26,501,60,244,143,46,21,56,2.55,43,2
Michael Chow's Team,234/505,.463,115/149,.772,69,652,67,285,171,39,45,90,1.90,43,2
Kojima Production,207/449,.461,85/107,.794,72,571,38,171,126,35,12,76,1.66,39,2
TST WATER CANNON,258/558,.462,124/168,.738,67,707,58,215,147,32,29,75,1.96,45,2
Luke's Team,181/394,.459,74/103,.718,41,477,72,246,96,40,48,61,1.57,42,2
甄姬拔菜,194/348,.557,69/88,.784,24,481,72,264,108,29,28,57,1.89,36,2
