Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,199/451,.441,100/126,.794,40,538,52,209,142,30,19,70,2.03,40,5
甄姬拔菜,200/380,.526,101/132,.765,31,532,58,237,138,32,26,66,2.09,43,5
Alex's Team,259/517,.501,103/130,.792,50,671,62,257,205,46,19,77,2.66,41,5
GiannisISmySON,209/420,.498,87/117,.744,50,555,62,239,103,37,23,74,1.39,42,5
CWB Shams,225/476,.473,96/113,.850,77,623,57,218,114,30,29,45,2.53,41,5
Deng's Team,243/516,.471,100/130,.769,70,656,47,217,138,31,25,73,1.89,37,5
Goodtime Brother,226/444,.509,104/133,.782,58,614,56,234,170,41,22,70,2.43,39,5
达里安人阿闹,205/426,.481,100/107,.935,50,560,46,208,127,35,22,75,1.69,47,5
Kojima Production,256/550,.465,154/183,.842,84,750,43,201,162,43,17,92,1.76,43,5
Michael Chow's Team,227/452,.502,78/107,.729,71,603,57,233,135,26,48,67,2.01,43,5
Luke's Team,187/372,.503,105/141,.745,39,518,89,234,76,42,44,57,1.33,39,5
离岛落得慢,210/465,.452,159/182,.874,70,649,49,184,123,30,26,60,2.05,40,5
sean's Dazzling Team,197/448,.440,69/90,.767,79,542,34,167,160,31,20,65,2.46,36,5
TST WATER CANNON,200/465,.430,136/162,.840,41,577,41,188,134,35,26,66,2.03,39,5
