Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,241/492,.490,83/115,.722,61,626,61,245,136,32,32,70,1.94,45,20
TST WATER CANNON,164/368,.446,77/102,.755,40,445,35,165,91,29,27,42,2.17,34,20
Alex's Team,231/402,.575,67/81,.827,35,564,67,249,129,38,27,63,2.05,41,20
离岛落得慢,124/255,.486,50/68,.735,25,323,27,106,54,20,11,25,2.16,27,20
CWB Shams,252/508,.496,93/112,.830,102,699,37,194,151,46,20,68,2.22,42,20
Kojima Production,166/353,.470,66/80,.825,40,438,41,170,116,25,20,62,1.87,40,20
Deng's Team,223/443,.503,102/125,.816,60,608,33,185,149,32,17,77,1.94,36,20
甄姬拔菜,159/365,.436,77/94,.819,31,426,52,238,140,33,25,37,3.78,42,20
GiannisISmySON,250/507,.493,127/148,.858,54,681,47,224,137,36,25,79,1.73,41,20
Goodtime Brother,292/583,.501,118/149,.792,72,774,71,290,150,41,23,84,1.79,44,20
Luke's Team,128/253,.506,53/67,.791,38,347,39,159,97,27,28,42,2.31,35,20
Michael Chow's Team,231/466,.496,77/102,.755,78,617,79,252,184,38,28,77,2.39,42,20
sean's Dazzling Team,158/368,.429,68/79,.861,53,437,36,154,133,41,19,52,2.56,41,20
达里安人阿闹,244/508,.480,80/93,.860,99,667,23,184,144,43,21,65,2.22,41,20
