Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,293/569,.515,117/154,.760,66,769,53,236,202,45,18,79,2.56,45,11
Deng's Team,249/529,.471,134/176,.761,95,727,51,245,176,37,16,103,1.71,45,11
Alex's Team,212/437,.485,82/106,.774,53,559,59,249,177,50,37,78,2.27,43,11
甄姬拔菜,183/358,.511,67/88,.761,48,481,44,226,127,22,38,49,2.59,45,11
CWB Shams,268/553,.485,113/135,.837,105,754,42,208,130,50,33,73,1.78,47,11
Goodtime Brother,274/559,.490,90/120,.750,79,717,57,273,192,38,18,90,2.13,44,11
GiannisISmySON,251/526,.477,104/135,.770,60,666,43,230,125,36,20,66,1.89,45,11
Michael Chow's Team,242/490,.494,119/157,.758,73,676,54,246,160,44,34,67,2.39,45,11
Kojima Production,239/515,.464,151/178,.848,69,698,46,168,153,36,13,86,1.78,42,11
sean's Dazzling Team,217/470,.462,74/93,.796,82,590,57,234,180,48,28,68,2.65,48,11
Luke's Team,172/328,.524,52/72,.722,37,433,66,216,79,39,53,52,1.52,45,11
TST WATER CANNON,251/529,.474,153/191,.801,75,730,40,188,159,38,33,74,2.15,44,11
离岛落得慢,204/449,.454,115/148,.777,60,583,39,194,152,25,17,67,2.27,41,11
达里安人阿闹,216/429,.503,94/118,.797,63,589,43,229,115,14,32,59,1.95,44,11
