Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,235/479,.491,79/94,.840,45,594,50,245,131,20,16,52,2.52,44,16
Michael Chow's Team,232/454,.511,102/134,.761,75,641,36,221,173,35,23,53,3.26,38,16
Alex's Team,202/409,.494,68/92,.739,40,512,74,238,153,32,37,68,2.25,43,16
达里安人阿闹,240/480,.500,70/88,.795,74,624,52,213,132,30,31,61,2.16,41,16
CWB Shams,239/495,.483,75/90,.833,90,643,36,196,144,44,31,78,1.85,45,16
sean's Dazzling Team,218/413,.528,50/63,.794,76,562,43,192,151,33,28,61,2.48,44,16
Deng's Team,196/401,.489,82/109,.752,57,531,26,182,122,22,12,69,1.77,38,16
离岛落得慢,196/381,.514,59/82,.720,49,500,37,147,112,23,24,54,2.07,33,16
GiannisISmySON,236/482,.490,88/121,.727,43,603,48,205,125,34,28,59,2.12,39,16
Kojima Production,222/459,.484,111/137,.810,76,631,37,158,134,28,10,74,1.81,39,16
Goodtime Brother,259/523,.495,88/127,.693,64,670,57,245,173,44,22,74,2.34,43,16
Luke's Team,148/286,.517,34/43,.791,43,373,36,134,85,35,30,46,1.85,34,16
TST WATER CANNON,240/496,.484,128/154,.831,67,675,24,174,132,35,19,67,1.97,41,16
甄姬拔菜,176/348,.506,53/71,.746,52,457,39,199,151,30,28,42,3.60,41,16
