Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,49/102,.480,15/17,.882,7,120,8,46,35,10,6,24,1.458,5,4
GiannisISmySON,47/91,.516,12/20,.600,14,120,18,43,16,3,2,8,2.000,7,4
Alex's Team,50/106,.472,27/31,.871,11,138,12,44,27,13,2,15,1.800,6,4
Kojima Production,42/88,.477,21/26,.808,15,120,13,36,26,11,3,14,1.857,6,4
CWB Shams,16/34,.471,6/9,.667,4,42,1,14,7,2,6,9,0.778,3,4
甄姬拔菜,52/96,.542,28/43,.651,12,144,15,52,34,9,1,14,2.429,10,4
Deng's Team,53/98,.541,18/26,.692,18,142,11,51,35,4,5,13,2.692,9,4
Goodtime Brother,52/102,.510,19/29,.655,10,133,5,33,32,7,4,14,2.286,10,4
Luke's Team,34/57,.596,23/26,.885,6,97,16,49,15,8,8,13,1.154,5,4
达里安人阿闹,28/56,.500,13/15,.867,7,76,3,25,23,4,4,7,3.286,6,4
Michael Chow's Team,39/80,.487,16/23,.696,12,106,5,25,19,4,5,18,1.056,3,4
TST WATER CANNON,65/150,.433,26/35,.743,19,175,15,57,39,7,5,15,2.600,5,4
sean's Dazzling Team,50/103,.485,15/19,.789,30,145,9,31,43,8,2,15,2.867,4,4
离岛落得慢,53/109,.486,43/45,.956,13,162,13,53,26,17,0,19,1.368,5,4
