Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,33/73,.452,19/19,1.000,10,95,5,42,28,7,4,12,2.333,8,21
CWB Shams,31/80,.388,19/25,.760,15,96,7,35,34,8,3,9,3.778,7,21
Alex's Team,35/64,.547,17/19,.895,7,94,9,42,16,7,6,4,4.000,7,21
Goodtime Brother,59/121,.488,34/40,.850,12,164,17,59,39,5,6,18,2.167,7,21
Deng's Team,16/39,.410,5/6,.833,3,40,5,15,11,1,1,9,1.222,5,21
Michael Chow's Team,45/76,.592,12/13,.923,16,118,6,38,26,8,8,10,2.600,8,21
GiannisISmySON,30/57,.526,5/8,.625,4,69,2,34,11,6,2,8,1.375,5,21
Luke's Team,21/50,.420,10/11,.909,5,57,6,19,4,5,5,8,0.500,4,21
Kojima Production,29/58,.500,11/13,.846,9,78,5,18,8,2,2,10,0.800,4,21
离岛落得慢,10/31,.323,5/5,1.000,1,26,8,15,5,2,1,2,2.500,5,21
sean's Dazzling Team,26/70,.371,10/16,.625,7,69,13,37,27,8,2,10,2.700,9,21
甄姬拔菜,38/94,.404,7/11,.636,10,93,20,71,33,9,6,13,2.538,8,21
TST WATER CANNON,14/35,.400,11/13,.846,4,43,6,15,10,1,1,4,2.500,8,21
达里安人阿闹,48/106,.453,11/17,.647,12,119,10,38,35,11,2,15,2.333,8,21
