Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,231/469,.493,101/125,.808,48,611,50,199,132,41,22,72,1.83,44,18
甄姬拔菜,228/456,.500,87/114,.763,62,605,53,240,215,46,30,56,3.84,46,18
Alex's Team,218/434,.502,65/76,.855,46,547,67,272,174,48,38,64,2.72,44,18
GiannisISmySON,265/499,.531,96/118,.814,59,685,68,254,122,21,29,59,2.07,42,18
CWB Shams,221/500,.442,71/87,.816,94,607,54,240,153,41,23,75,2.04,44,18
Deng's Team,204/421,.485,108/134,.806,65,581,25,187,124,22,18,69,1.80,38,18
Goodtime Brother,209/449,.465,65/89,.730,61,544,47,214,131,39,19,83,1.58,43,18
达里安人阿闹,239/513,.466,69/93,.742,79,626,58,234,150,32,25,76,1.97,41,18
Kojima Production,196/448,.438,124/142,.873,58,574,45,150,84,34,17,55,1.53,36,18
Michael Chow's Team,251/505,.497,103/135,.763,71,676,78,323,172,27,39,89,1.93,44,18
Luke's Team,166/349,.476,95/125,.760,27,454,63,241,104,40,37,65,1.60,46,18
离岛落得慢,220/489,.450,104/131,.794,55,599,45,217,147,30,21,66,2.23,40,18
sean's Dazzling Team,205/489,.419,65/82,.793,80,555,45,182,144,34,33,65,2.22,43,18
TST WATER CANNON,168/347,.484,58/75,.773,65,459,25,133,96,21,26,59,1.63,33,18
