Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,260/531,.490,111/141,.787,43,674,51,258,180,54,23,81,2.22,44,12
sean's Dazzling Team,179/399,.449,80/96,.833,61,499,39,174,120,36,23,59,2.03,43,12
Alex's Team,204/393,.519,104/137,.759,47,559,65,241,174,35,28,65,2.68,36,12
Michael Chow's Team,209/412,.507,97/130,.746,57,572,51,227,140,40,31,61,2.30,43,12
CWB Shams,238/516,.461,85/104,.817,107,668,39,196,142,42,29,51,2.78,43,12
Luke's Team,133/248,.536,36/58,.621,32,334,39,134,85,29,26,36,2.36,39,12
Deng's Team,249/561,.444,114/156,.731,75,687,43,230,177,33,30,80,2.21,45,12
TST WATER CANNON,223/469,.475,101/121,.835,49,596,32,149,122,22,16,57,2.14,38,12
GiannisISmySON,293/549,.534,95/132,.720,77,758,51,262,141,33,28,81,1.74,44,12
达里安人阿闹,207/424,.488,95/109,.872,78,587,41,221,123,37,16,70,1.76,45,12
Goodtime Brother,220/429,.513,98/114,.860,59,597,47,207,168,37,25,76,2.21,42,12
离岛落得慢,231/452,.511,124/151,.821,61,647,36,161,150,28,21,59,2.54,39,12
Kojima Production,245/503,.487,179/206,.869,76,745,50,227,145,40,14,78,1.86,45,12
甄姬拔菜,142/294,.483,66/85,.776,52,402,38,138,104,21,20,26,4.00,44,12
