Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,206/411,.501,102/143,.713,33,547,70,242,129,36,23,53,2.43,48,19
Goodtime Brother,284/570,.498,80/103,.777,69,717,64,269,176,40,22,81,2.17,48,19
Alex's Team,248/497,.499,108/138,.783,74,678,72,279,182,40,43,74,2.46,46,19
Deng's Team,277/595,.466,97/122,.795,70,721,47,241,149,43,16,90,1.66,46,19
CWB Shams,212/500,.424,63/85,.741,93,580,34,207,165,56,33,79,2.09,43,19
达里安人阿闹,288/596,.483,97/122,.795,101,774,52,239,171,40,35,95,1.80,45,19
GiannisISmySON,273/536,.509,107/140,.764,73,726,55,259,128,38,31,68,1.88,45,19
sean's Dazzling Team,184/405,.454,78/89,.876,68,514,39,178,133,29,27,59,2.25,46,19
Kojima Production,219/520,.421,99/137,.723,75,612,53,183,124,39,16,50,2.48,44,19
Luke's Team,167/329,.508,67/85,.788,28,429,65,223,101,29,28,47,2.15,45,19
Michael Chow's Team,242/485,.499,117/145,.807,84,685,55,279,199,38,38,99,2.01,45,19
甄姬拔菜,221/456,.485,65/84,.774,66,573,56,226,197,27,21,63,3.13,44,19
TST WATER CANNON,133/277,.480,52/63,.825,38,356,28,137,86,28,23,37,2.32,35,19
离岛落得慢,173/365,.474,93/120,.775,46,485,24,145,114,34,17,59,1.93,36,19
