Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,287/583,.492,129/157,.822,60,763,56,242,193,36,43,84,2.298,43,3
Michael Chow's Team,265/492,.539,126/172,.733,69,725,78,309,152,39,40,87,1.747,41,3
Alex's Team,230/506,.455,113/144,.785,52,625,73,253,163,35,22,73,2.233,39,3
达里安人阿闹,182/375,.485,87/104,.837,65,516,31,203,107,33,23,79,1.354,42,3
CWB Shams,209/479,.436,86/107,.804,77,581,47,206,118,45,34,73,1.616,38,3
sean's Dazzling Team,216/446,.484,88/107,.822,73,593,38,172,152,39,18,62,2.452,39,3
Deng's Team,228/517,.441,117/143,.818,71,644,43,229,152,34,14,86,1.767,42,3
离岛落得慢,254/554,.458,175/207,.845,53,736,56,209,127,27,23,73,1.740,44,3
GiannisISmySON,215/428,.502,71/90,.789,49,550,46,214,100,26,24,69,1.449,40,3
Kojima Production,249/550,.453,128/146,.877,77,703,47,206,138,34,20,99,1.394,39,3
Goodtime Brother,165/347,.476,80/103,.777,44,454,42,165,139,33,11,66,2.106,37,3
Luke's Team,154/304,.507,72/91,.791,33,413,67,192,67,32,19,36,1.861,37,3
TST WATER CANNON,208/502,.414,124/161,.770,43,583,64,253,123,37,27,81,1.519,39,3
甄姬拔菜,151/316,.478,59/81,.728,30,391,74,206,107,28,19,40,2.675,39,3
