Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,333/664,.502,123/143,.860,90,879,49,233,178,35,32,91,1.96,44,9
离岛落得慢,250/520,.481,128/147,.871,62,690,49,247,150,45,26,71,2.11,42,9
Alex's Team,222/434,.512,108/129,.837,49,601,71,268,157,30,26,67,2.34,45,9
Luke's Team,169/300,.563,84/114,.737,29,451,64,196,71,30,52,42,1.69,42,9
CWB Shams,254/475,.535,82/92,.891,86,676,40,175,122,32,29,66,1.85,43,9
TST WATER CANNON,226/471,.480,99/118,.839,50,601,29,176,151,30,27,55,2.75,43,9
Deng's Team,205/463,.443,135/160,.844,51,596,35,213,161,40,14,67,2.40,40,9
GiannisISmySON,255/534,.478,109/136,.801,65,684,56,231,124,33,31,70,1.77,44,9
Goodtime Brother,228/459,.497,88/115,.765,50,594,63,230,180,40,21,68,2.65,42,9
Kojima Production,299/650,.460,159/187,.850,78,835,49,208,216,43,14,78,2.77,44,9
Michael Chow's Team,225/461,.488,91/121,.752,76,617,62,253,148,37,38,62,2.39,44,9
sean's Dazzling Team,186/409,.455,63/83,.759,81,516,27,154,184,31,22,73,2.52,44,9
甄姬拔菜,209/394,.530,79/98,.806,50,547,65,224,115,25,35,49,2.35,43,9
达里安人阿闹,239/471,.507,98/119,.824,81,657,53,245,136,37,32,65,2.09,44,9
