Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,17/35,.486,5/5,1.000,11,50,4,12,10,3,1,2,5.00,3,7
TST WATER CANNON,19/28,.679,11/12,.917,2,51,5,13,11,5,0,8,1.38,4,7
Alex's Team,10/26,.385,9/10,.900,4,33,2,14,6,3,0,6,1.00,2,7
离岛落得慢,31/58,.534,16/19,.842,19,97,4,17,18,4,1,8,2.25,4,7
CWB Shams,11/19,.579,4/4,1.000,1,27,6,19,3,3,3,1,3.00,2,7
Kojima Production,20/39,.513,8/9,.889,3,51,4,20,6,2,3,10,.60,3,7
Deng's Team,12/27,.444,10/10,1.000,2,36,5,12,2,0,2,3,.67,2,7
甄姬拔菜,19/44,.432,7/8,.875,7,52,1,11,13,4,2,6,2.17,4,7
GiannisISmySON,33/67,.493,13/19,.684,4,83,14,34,16,4,3,5,3.20,5,7
Goodtime Brother,28/59,.475,23/30,.767,1,80,6,21,20,4,1,10,2.00,3,7
Luke's Team,9/15,.600,4/4,1.000,3,25,4,9,8,2,3,3,2.67,2,7
Michael Chow's Team,26/63,.413,7/11,.636,7,66,5,31,25,9,2,5,5.00,6,7
sean's Dazzling Team,22/40,.550,4/5,.800,13,61,5,16,16,3,0,2,8.00,3,7
达里安人阿闹,20/34,.588,3/4,.750,7,50,2,16,15,2,4,9,1.67,3,7
