Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,166/300,.553,55/78,.705,34,421,63,216,132,34,25,59,2.24,36,9
Alex's Team,148/351,.422,48/60,.800,66,410,36,133,128,22,16,45,2.84,29,9
CWB Shams,188/397,.474,80/96,.833,59,515,32,191,110,30,28,63,1.75,29,9
Luke's Team,159/385,.413,72/93,.774,51,441,34,153,81,22,16,45,1.80,31,9
Deng's Team,218/476,.458,108/134,.806,70,614,54,221,107,40,26,51,2.10,34,9
Goodtime Brother,188/411,.457,129/162,.796,35,540,30,166,121,30,20,72,1.68,34,9
GiannisISmySON,176/378,.466,84/115,.730,47,483,52,189,106,32,18,58,1.83,37,9
Kojima Production,70/172,.407,46/55,.836,26,212,14,72,61,13,9,28,2.18,25,9
Michael Chow's Team,187/403,.464,70/103,.680,76,520,71,229,146,33,11,60,2.43,35,9
甄姬拔菜,145/266,.545,58/91,.637,28,376,53,160,100,32,33,45,2.22,31,9
sean's Dazzling Team,172/343,.501,116/139,.835,38,498,49,166,104,28,19,56,1.86,33,9
离岛落得慢,225/445,.506,118/145,.814,57,625,64,235,143,29,30,99,1.44,33,9
TST WATER CANNON,233/470,.496,98/121,.810,55,619,46,197,131,36,16,68,1.93,30,9
达里安人阿闹,194/394,.492,71/93,.763,53,512,56,199,96,41,25,61,1.57,34,9
