Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,163/334,.488,57/83,.687,33,416,67,221,137,20,27,56,2.45,46,20
Goodtime Brother,247/507,.487,127/158,.804,61,682,47,203,149,29,15,65,2.29,42,20
Alex's Team,201/459,.438,91/111,.820,64,557,49,190,146,41,29,55,2.65,45,20
sean's Dazzling Team,217/430,.505,114/136,.838,60,608,51,227,91,44,17,68,1.34,48,20
CWB Shams,208/441,.472,98/115,.852,57,571,46,198,148,36,35,63,2.35,48,20
Michael Chow's Team,218/431,.506,83/115,.722,72,591,64,246,165,30,17,78,2.12,47,20
Deng's Team,244/480,.508,176/214,.822,61,725,40,188,123,39,26,70,1.76,47,20
Kojima Production,128/285,.449,101/122,.828,33,390,17,89,78,19,15,43,1.81,36,20
GiannisISmySON,245/475,.516,111/144,.771,80,681,52,173,103,40,19,74,1.39,45,20
甄姬拔菜,187/366,.511,87/106,.821,32,493,86,254,133,28,36,48,2.77,43,20
Luke's Team,143/331,.432,58/75,.773,52,396,34,142,83,28,14,66,1.26,44,20
达里安人阿闹,235/470,.500,100/120,.833,68,638,54,276,160,61,23,55,2.91,42,20
TST WATER CANNON,137/281,.488,62/83,.747,37,373,21,98,63,20,18,51,1.24,31,20
离岛落得慢,213/483,.441,89/117,.761,51,566,57,204,155,37,15,64,2.42,47,20
