Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,163/298,.547,70/90,.778,26,422,80,256,120,39,24,56,2.14,43,5
GiannisISmySON,230/473,.486,126/159,.792,48,634,65,235,137,33,10,85,1.61,41,5
Alex's Team,217/431,.503,84/101,.832,68,586,69,224,129,45,28,63,2.05,41,5
Michael Chow's Team,247/488,.506,133/178,.747,89,716,84,261,154,38,33,84,1.83,40,5
CWB Shams,245/509,.481,108/133,.812,87,685,44,177,163,46,26,81,2.01,38,5
达里安人阿闹,215/430,.500,87/108,.806,61,578,64,245,133,30,26,71,1.87,42,5
Deng's Team,228/443,.515,127/163,.779,63,646,42,199,122,41,28,71,1.72,39,5
sean's Dazzling Team,246/506,.486,142/175,.811,92,726,35,208,132,45,23,84,1.57,48,5
Goodtime Brother,212/452,.469,101/137,.737,39,564,32,166,134,42,16,82,1.63,42,5
Luke's Team,240/516,.465,130/156,.833,69,679,62,211,167,42,16,84,1.99,47,5
Kojima Production,150/313,.479,81/100,.810,43,424,22,106,82,26,18,40,2.05,38,5
TST WATER CANNON,205/439,.467,111/140,.793,58,579,35,166,134,30,13,68,1.97,45,5
甄姬拔菜,170/340,.500,95/119,.798,38,473,83,240,114,36,38,61,1.87,47,5
离岛落得慢,247/513,.481,88/115,.765,69,651,52,238,172,41,22,95,1.81,44,5
