Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,169/336,.503,71/96,.740,47,456,60,210,153,31,17,66,2.32,47,2
Michael Chow's Team,219/472,.464,102/124,.823,72,612,64,244,153,43,21,80,1.91,40,2
Alex's Team,207/426,.486,71/94,.755,60,545,45,173,136,43,21,55,2.47,45,2
离岛落得慢,248/489,.507,131/165,.794,62,689,45,215,179,36,24,92,1.95,41,2
CWB Shams,225/451,.499,82/99,.828,79,611,33,178,145,39,22,62,2.34,43,2
Kojima Production,146/335,.436,90/108,.833,52,434,30,140,101,32,31,52,1.94,37,2
Deng's Team,242/497,.487,130/162,.802,59,673,53,227,139,32,21,72,1.93,43,2
甄姬拔菜,215/414,.519,91/128,.711,40,561,68,240,130,38,29,68,1.91,40,2
GiannisISmySON,240/460,.522,129/147,.878,67,676,54,231,129,20,19,73,1.77,43,2
TST WATER CANNON,222/459,.484,136/174,.782,62,642,57,232,95,28,28,80,1.19,44,2
Goodtime Brother,253/518,.488,137/178,.770,69,712,47,227,130,41,21,94,1.38,47,2
达里安人阿闹,204/428,.477,104/120,.867,75,587,67,246,123,44,33,60,2.05,45,2
Luke's Team,191/444,.430,128/146,.877,56,566,56,204,144,29,16,68,2.12,46,2
sean's Dazzling Team,256/565,.453,138/174,.793,90,740,37,212,174,53,21,94,1.85,48,2
