Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,149/285,.523,71/87,.816,28,397,50,168,149,34,21,62,2.40,48,11
sean's Dazzling Team,276/556,.496,127/160,.794,90,769,32,201,141,44,28,73,1.93,47,11
Alex's Team,207/447,.463,107/138,.775,79,600,47,189,140,28,23,62,2.26,41,11
甄姬拔菜,208/369,.564,88/113,.779,26,530,68,222,147,39,34,56,2.63,48,11
CWB Shams,262/554,.473,120/136,.882,80,724,51,245,205,39,27,84,2.44,46,11
离岛落得慢,236/449,.526,88/112,.786,63,623,59,244,134,43,18,73,1.84,43,11
Deng's Team,206/446,.462,103/131,.786,57,572,35,168,90,36,30,60,1.50,44,11
TST WATER CANNON,243/514,.473,123/150,.820,43,652,54,218,132,34,23,76,1.74,47,11
GiannisISmySON,245/472,.519,84/117,.718,52,626,37,206,132,29,12,43,3.07,44,11
达里安人阿闹,199/424,.469,92/107,.860,68,558,54,228,117,22,36,48,2.44,49,11
Goodtime Brother,290/604,.480,157/191,.822,69,806,57,274,215,51,42,99,2.17,46,11
Michael Chow's Team,206/439,.469,114/142,.803,54,580,64,238,157,39,39,65,2.42,47,11
Kojima Production,123/241,.510,63/83,.759,43,352,20,113,67,32,18,35,1.91,34,11
Luke's Team,254/513,.495,95/116,.819,99,702,24,163,163,42,20,83,1.96,46,11
