Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,220/434,.507,69/89,.775,41,550,92,271,181,44,20,76,2.38,49,21
Luke's Team,183/379,.483,78/98,.796,63,507,47,181,120,47,23,53,2.26,43,21
Alex's Team,116/268,.433,72/104,.692,31,335,44,150,75,22,22,34,2.21,37,21
达里安人阿闹,244/516,.473,111/138,.804,70,669,71,296,154,50,28,91,1.69,46,21
CWB Shams,196/419,.468,82/95,.863,69,543,37,195,143,31,26,58,2.47,42,21
Goodtime Brother,215/450,.478,121/150,.807,61,612,30,151,123,34,17,73,1.68,42,21
Deng's Team,173/345,.501,89/120,.742,45,480,42,171,116,37,13,47,2.47,46,21
Michael Chow's Team,250/526,.475,96/129,.744,68,664,77,263,182,52,33,67,2.72,48,21
GiannisISmySON,283/602,.470,143/171,.836,71,780,45,197,142,39,28,101,1.41,47,21
离岛落得慢,194/398,.487,53/70,.757,55,496,37,192,139,28,14,59,2.36,43,21
Kojima Production,79/150,.527,39/47,.830,21,218,10,48,35,6,5,26,1.35,42,21
甄姬拔菜,220/431,.510,86/113,.761,46,572,97,268,127,47,22,62,2.05,47,21
sean's Dazzling Team,216/418,.517,123/142,.866,73,628,38,175,91,34,20,56,1.63,47,21
TST WATER CANNON,161/343,.469,102/133,.767,35,459,27,132,114,14,8,59,1.93,40,21
