Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,151/294,.514,47/67,.701,30,379,68,218,149,45,28,50,2.98,50,14
离岛落得慢,243/533,.456,118/152,.776,74,678,61,275,165,45,25,96,1.72,41,14
Alex's Team,219/482,.454,97/120,.808,69,604,62,221,172,43,12,68,2.53,45,14
Deng's Team,228/494,.462,116/132,.879,68,640,47,199,80,26,23,52,1.54,43,14
CWB Shams,187/405,.462,82/105,.781,68,524,46,209,122,35,33,67,1.82,42,14
TST WATER CANNON,182/389,.468,114/140,.814,48,526,44,182,94,32,22,68,1.38,41,14
GiannisISmySON,236/469,.503,90/113,.796,64,626,51,229,169,31,18,77,2.19,47,14
Michael Chow's Team,164/370,.443,93/112,.830,45,466,34,192,156,28,27,76,2.05,38,14
Goodtime Brother,232/492,.472,128/167,.766,69,661,59,249,139,42,18,75,1.85,41,14
Kojima Production,167/376,.444,78/98,.796,55,467,32,129,118,35,15,55,2.15,44,14
Luke's Team,226/520,.435,101/127,.795,73,626,38,182,172,43,18,88,1.95,40,14
甄姬拔菜,175/334,.524,78/96,.813,18,446,71,234,145,31,35,43,3.37,43,14
sean's Dazzling Team,230/496,.464,130/161,.807,72,662,52,217,138,36,22,71,1.94,43,14
达里安人阿闹,132/290,.455,67/88,.761,42,373,48,192,100,32,30,49,2.04,45,14
