Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,211/371,.569,57/90,.633,38,517,55,232,163,47,32,60,2.72,44,19
TST WATER CANNON,195/437,.446,108/142,.761,46,544,45,183,98,25,14,75,1.31,46,19
Alex's Team,176/389,.452,62/78,.795,52,466,39,187,123,31,17,32,3.84,40,19
CWB Shams,216/462,.468,104/125,.832,81,617,60,232,153,37,45,76,2.01,45,19
Deng's Team,179/419,.427,106/133,.797,49,513,32,165,134,36,25,55,2.44,48,19
Luke's Team,166/367,.452,60/78,.769,66,458,32,140,109,28,18,47,2.32,41,19
GiannisISmySON,238/527,.452,119/142,.838,70,665,46,184,151,39,15,69,2.19,46,19
sean's Dazzling Team,224/458,.489,141/172,.820,55,644,45,228,110,43,14,56,1.96,45,19
Goodtime Brother,287/583,.492,143/181,.790,75,792,42,257,127,45,28,91,1.40,46,19
甄姬拔菜,181/360,.503,89/126,.706,29,480,92,242,120,40,33,57,2.11,44,19
Kojima Production,134/287,.467,57/74,.770,54,379,34,106,75,31,15,45,1.67,36,19
Michael Chow's Team,147/303,.485,75/99,.758,50,419,38,149,131,29,15,49,2.67,39,19
离岛落得慢,181/406,.446,87/116,.750,50,499,33,153,117,44,9,48,2.44,43,19
达里安人阿闹,210/412,.510,107/127,.843,49,576,66,295,161,39,22,75,2.15,49,19
