Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,200/413,.484,70/97,.722,51,521,87,266,208,58,20,103,2.02,55,17
Deng's Team,252/523,.482,138/179,.771,57,699,52,228,142,34,27,73,1.95,53,17
Alex's Team,247/501,.493,82/102,.804,82,658,60,227,133,42,21,81,1.64,48,17
Luke's Team,275/618,.445,146/187,.781,90,786,40,211,166,62,27,73,2.27,54,17
CWB Shams,309/607,.509,140/180,.778,99,857,38,260,176,60,42,95,1.85,59,17
GiannisISmySON,203/431,.471,82/102,.804,56,544,49,202,142,28,12,76,1.87,49,17
Goodtime Brother,297/653,.455,179/225,.796,81,854,45,268,177,47,36,91,1.95,56,17
TST WATER CANNON,172/366,.470,87/118,.737,30,461,54,180,101,29,16,48,2.10,46,17
Kojima Production,248/501,.495,94/120,.783,71,661,61,225,129,42,37,75,1.72,52,17
sean's Dazzling Team,261/587,.445,157/195,.805,74,753,59,274,149,52,15,74,2.01,55,17
Michael Chow's Team,241/491,.491,125/160,.781,89,696,64,228,204,46,30,93,2.19,55,17
离岛落得慢,184/450,.409,87/97,.897,64,519,39,211,92,30,18,81,1.14,53,17
甄姬拔菜,159/308,.516,53/85,.624,29,400,72,217,108,31,34,57,1.89,53,17
达里安人阿闹,268/530,.506,120/148,.811,70,726,91,366,197,75,40,110,1.79,55,17
