Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,189/385,.491,65/96,.677,37,480,64,213,166,55,35,83,2.00,50,15
Michael Chow's Team,193/391,.494,55/79,.696,75,516,48,194,157,43,26,67,2.34,49,15
Alex's Team,216/445,.485,84/98,.857,71,587,47,180,137,32,13,75,1.83,44,15
离岛落得慢,222/504,.440,95/127,.748,74,613,55,253,158,42,26,82,1.93,49,15
CWB Shams,260/498,.522,107/133,.805,80,707,51,233,153,55,33,69,2.22,48,15
Kojima Production,205/422,.486,133/164,.811,52,595,41,169,148,41,22,48,3.08,49,15
Deng's Team,256/541,.473,130/160,.813,66,708,49,218,112,36,23,55,2.04,46,15
甄姬拔菜,189/366,.516,72/107,.673,20,470,102,261,151,42,48,65,2.32,44,15
GiannisISmySON,221/451,.490,84/102,.824,51,577,39,209,127,36,12,67,1.90,43,15
TST WATER CANNON,245/521,.470,107/141,.759,61,658,80,247,114,31,32,74,1.54,50,15
Goodtime Brother,303/623,.486,135/165,.818,92,833,48,255,152,52,34,81,1.88,48,15
达里安人阿闹,171/395,.433,69/90,.767,47,458,83,309,146,44,32,79,1.85,48,15
Luke's Team,229/497,.461,113/142,.796,80,651,34,177,160,33,12,93,1.72,48,15
sean's Dazzling Team,236/535,.441,128/160,.800,62,662,65,239,113,35,25,77,1.47,44,15
