Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,155/308,.503,66/82,.805,22,398,72,261,172,47,21,68,2.53,42,6
TST WATER CANNON,240/485,.495,135/187,.722,57,672,49,205,115,26,17,68,1.69,40,6
Alex's Team,213/452,.471,70/87,.805,75,571,66,224,121,31,27,66,1.83,42,6
CWB Shams,245/544,.450,77/89,.865,92,659,35,179,161,49,40,83,1.94,44,6
Deng's Team,278/545,.510,161/189,.852,84,801,48,215,102,38,31,75,1.36,42,6
Luke's Team,175/403,.434,101/121,.835,42,493,44,153,114,32,20,59,1.93,41,6
GiannisISmySON,242/539,.449,133/165,.806,66,683,57,240,176,39,17,92,1.91,44,6
sean's Dazzling Team,224/486,.461,102/130,.785,66,616,40,204,120,53,25,69,1.74,41,6
Goodtime Brother,181/403,.449,107/136,.787,50,519,37,154,141,32,15,55,2.56,42,6
甄姬拔菜,119/230,.517,71/100,.710,12,321,46,177,76,21,19,43,1.77,43,6
Kojima Production,202/402,.502,114/146,.781,53,571,45,153,101,27,16,68,1.49,37,6
Michael Chow's Team,216/448,.482,112/140,.800,81,625,50,263,160,37,15,72,2.22,45,6
离岛落得慢,188/400,.470,103/128,.805,59,538,53,219,123,43,20,75,1.64,39,6
达里安人阿闹,183/369,.496,85/109,.780,51,502,65,230,111,35,31,57,1.95,41,6
