Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,9/14,.643,5/6,.833,1,24,2,12,4,2,0,5,0.800,0,12
达里安人阿闹,11/24,.458,8/9,.889,3,33,7,18,3,4,2,9,0.333,0,12
Alex's Team,23/54,.426,14/15,.933,12,72,6,25,12,4,2,1,12.000,0,12
Kojima Production,1/3,.333,0/0,,0,2,0,1,0,1,0,0,,0,12
CWB Shams,12/29,.414,2/5,.400,6,32,3,8,8,4,1,3,2.667,0,12
sean's Dazzling Team,16/47,.340,6/7,.857,5,43,8,31,10,1,1,6,1.667,0,12
Deng's Team,14/30,.467,3/3,1.000,3,34,1,9,3,1,0,10,0.300,0,12
离岛落得慢,15/35,.429,7/8,.875,0,37,6,25,18,0,2,9,2.000,0,12
GiannisISmySON,11/23,.478,0/0,,2,24,2,16,7,2,2,4,1.750,0,12
Goodtime Brother,10/29,.345,9/17,.529,4,33,4,12,5,4,1,5,1.000,0,12
Luke's Team,9/21,.429,2/2,1.000,7,27,1,5,5,0,1,5,1.000,0,12
Michael Chow's Team,9/16,.562,1/2,.500,4,23,1,6,5,2,0,3,1.667,0,12
TST WATER CANNON,7/14,.500,0/0,,2,16,1,11,4,2,0,3,1.333,0,12
甄姬拔菜,13/43,.302,6/9,.667,4,36,7,22,11,1,1,3,3.667,0,12
