Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,160/320,.500,54/88,.614,35,409,59,217,151,56,21,69,2.19,47,3
CWB Shams,173/417,.415,77/92,.837,72,495,25,172,167,35,25,70,2.39,44,3
Alex's Team,194/418,.464,98/114,.860,68,554,50,180,137,46,20,59,2.32,42,3
Goodtime Brother,278/570,.488,130/166,.783,78,764,54,239,168,57,27,82,2.05,45,3
Deng's Team,233/445,.524,94/119,.790,68,628,45,219,99,48,35,60,1.65,45,3
达里安人阿闹,202/399,.506,80/102,.784,54,538,62,246,156,38,22,75,2.08,47,3
GiannisISmySON,218/457,.477,115/134,.858,43,594,58,226,125,31,9,87,1.44,44,3
Luke's Team,176/408,.431,126/149,.846,54,532,41,139,120,37,22,76,1.58,47,3
Kojima Production,168/350,.480,83/105,.790,59,478,38,134,102,29,17,80,1.28,44,3
离岛落得慢,257/553,.465,122/157,.777,63,699,60,232,160,46,21,102,1.57,47,3
Michael Chow's Team,251/512,.490,110/140,.786,81,693,70,261,133,40,34,85,1.56,38,3
TST WATER CANNON,231/509,.454,134/167,.802,59,655,67,223,121,45,26,79,1.53,42,3
sean's Dazzling Team,243/514,.473,144/173,.832,58,688,53,198,131,45,22,84,1.56,46,3
甄姬拔菜,223/447,.499,130/154,.844,55,631,82,264,161,47,32,68,2.37,48,3
