Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,144/300,.480,61/81,.753,25,374,65,183,126,35,7,72,1.75,44,10
Kojima Production,115/252,.456,69/81,.852,39,338,14,81,76,30,8,37,2.05,26,10
Alex's Team,223/465,.480,101/124,.815,78,625,54,184,126,38,20,69,1.83,43,10
TST WATER CANNON,255/521,.489,130/167,.778,66,706,59,223,124,38,22,91,1.36,39,10
CWB Shams,243/536,.453,101/123,.821,79,666,41,212,171,38,29,83,2.06,41,10
甄姬拔菜,163/292,.558,63/85,.741,28,417,60,193,92,37,25,48,1.92,42,10
Deng's Team,191/389,.491,88/113,.779,49,519,44,160,83,30,27,47,1.77,37,10
GiannisISmySON,194/410,.473,85/109,.780,43,516,49,179,138,28,15,65,2.12,40,10
Goodtime Brother,232/465,.499,99/139,.712,57,620,41,198,141,33,20,75,1.88,41,10
sean's Dazzling Team,264/509,.519,131/157,.834,71,730,63,208,95,46,26,64,1.48,42,10
Luke's Team,158/334,.473,77/99,.778,47,440,40,163,101,33,19,49,2.06,37,10
离岛落得慢,212/448,.473,81/102,.794,43,548,63,227,161,30,23,80,2.01,39,10
Michael Chow's Team,203/416,.488,95/122,.779,69,570,55,225,174,34,16,78,2.23,38,10
达里安人阿闹,181/376,.481,102/121,.843,49,513,71,240,123,32,25,58,2.12,40,10
