Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,161/324,.497,71/95,.747,31,424,49,189,128,32,17,62,2.06,40,18
GiannisISmySON,183/407,.450,65/91,.714,57,488,39,175,109,25,12,57,1.91,40,18
Alex's Team,186/411,.453,69/87,.793,72,513,60,213,114,37,15,66,1.73,42,18
Michael Chow's Team,200/394,.508,64/97,.660,74,538,57,206,131,50,21,60,2.18,44,18
CWB Shams,218/473,.461,89/111,.802,55,580,56,205,159,49,41,92,1.73,42,18
达里安人阿闹,219/441,.497,92/119,.773,62,592,75,258,113,33,33,74,1.53,44,18
Deng's Team,200/400,.500,98/132,.742,70,568,53,192,98,32,28,42,2.33,42,18
sean's Dazzling Team,138/276,.500,70/91,.769,32,378,44,160,73,15,17,54,1.35,38,18
Goodtime Brother,254/540,.470,153/193,.793,74,735,59,247,180,41,31,84,2.14,44,18
Luke's Team,218/457,.477,97/126,.770,81,614,49,198,137,44,27,70,1.96,45,18
Kojima Production,94/219,.429,40/56,.714,27,255,19,84,51,15,12,42,1.21,30,18
TST WATER CANNON,164/306,.536,62/80,.775,43,433,48,141,69,26,12,41,1.68,37,18
甄姬拔菜,186/366,.508,72/96,.750,27,471,55,223,147,53,29,51,2.88,48,18
离岛落得慢,178/371,.480,55/68,.809,48,459,33,143,101,45,18,65,1.55,43,18
