Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,78/156,.500,31/39,.795,12,199,43,114,81,35,11,38,2.13,22,8
Luke's Team,107/231,.463,44/61,.721,33,291,21,96,49,15,11,36,1.36,22,8
Alex's Team,110/241,.456,38/53,.717,35,293,39,118,65,18,15,29,2.24,22,8
达里安人阿闹,107/209,.512,52/63,.825,28,294,36,146,49,24,18,26,1.88,24,8
CWB Shams,149/327,.456,83/92,.902,55,436,24,157,116,31,23,51,2.27,31,8
Goodtime Brother,140/319,.439,79/98,.806,39,398,23,127,114,24,17,54,2.11,25,8
Deng's Team,126/260,.485,50/68,.735,28,330,22,83,53,15,16,31,1.71,21,8
Michael Chow's Team,160/335,.478,62/84,.738,46,428,48,149,96,22,9,38,2.53,27,8
GiannisISmySON,149/296,.503,83/106,.783,35,416,30,135,98,25,8,35,2.80,25,8
离岛落得慢,146/312,.468,69/88,.784,39,400,47,186,113,25,10,56,2.02,28,8
Kojima Production,90/181,.497,38/45,.844,34,252,12,74,55,17,6,20,2.75,23,8
甄姬拔菜,115/213,.540,50/60,.833,19,299,36,129,74,17,15,44,1.68,27,8
sean's Dazzling Team,184/369,.499,88/118,.746,53,509,45,156,83,32,16,52,1.60,26,8
TST WATER CANNON,130/305,.426,94/117,.803,39,393,23,118,83,25,13,52,1.60,25,8
