Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,130/247,.526,77/107,.720,26,363,47,170,136,31,18,59,2.31,33,1
离岛落得慢,183/344,.532,96/129,.744,38,500,36,169,116,29,19,60,1.93,32,1
Alex's Team,160/366,.437,97/126,.770,45,462,41,154,89,30,14,48,1.85,34,1
Deng's Team,199/441,.451,120/143,.839,50,568,45,213,122,34,26,66,1.85,35,1
CWB Shams,191/398,.480,61/77,.792,61,504,30,147,101,36,34,54,1.87,36,1
TST WATER CANNON,183/403,.454,89/120,.742,50,505,38,165,90,32,10,55,1.64,31,1
GiannisISmySON,195/359,.543,114/137,.832,50,554,44,170,86,19,9,70,1.23,34,1
Michael Chow's Team,155/336,.461,88/126,.698,47,445,50,180,106,28,22,64,1.66,33,1
Goodtime Brother,194/400,.485,114/142,.803,45,547,38,205,84,38,17,67,1.25,36,1
Kojima Production,144/317,.454,84/101,.832,48,420,29,130,113,16,9,58,1.95,29,1
Luke's Team,199/421,.473,153/197,.777,66,617,43,177,110,40,22,56,1.96,33,1
甄姬拔菜,168/354,.475,112/140,.800,35,483,60,203,84,38,16,81,1.04,36,1
sean's Dazzling Team,226/486,.465,109/143,.762,81,642,29,185,118,40,17,81,1.46,35,1
达里安人阿闹,123/308,.399,65/85,.765,38,349,42,187,97,32,19,61,1.59,34,1
