Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,173/347,.499,100/125,.800,35,481,62,229,184,50,22,69,2.67,43,4
Deng's Team,218/458,.476,131/160,.819,73,640,40,182,109,41,16,76,1.43,40,4
Alex's Team,212/424,.500,75/95,.789,81,580,58,198,138,37,26,69,2.00,47,4
Luke's Team,177/408,.434,124/140,.886,57,535,41,154,132,30,17,63,2.10,44,4
CWB Shams,235/526,.447,92/112,.821,83,645,44,220,180,50,23,81,2.22,44,4
GiannisISmySON,255/519,.491,144/174,.828,53,707,60,257,173,35,26,101,1.71,46,4
Goodtime Brother,236/507,.465,121/161,.752,53,646,51,222,133,44,21,80,1.66,42,4
TST WATER CANNON,289/583,.496,158/190,.832,85,821,73,252,125,28,22,67,1.87,46,4
Kojima Production,108/250,.432,70/78,.897,32,318,16,82,66,19,12,26,2.54,31,4
sean's Dazzling Team,216/467,.463,154/183,.842,73,659,54,194,121,39,13,74,1.64,44,4
Michael Chow's Team,223/471,.473,120/159,.755,71,637,64,249,140,27,29,73,1.92,42,4
离岛落得慢,254/546,.465,150/181,.829,72,730,55,266,212,46,26,109,1.94,45,4
甄姬拔菜,192/401,.479,106/138,.768,28,518,83,241,152,41,32,65,2.34,42,4
达里安人阿闹,201/399,.504,94/111,.847,55,551,67,245,110,32,21,58,1.90,42,4
