Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,136/293,.464,69/81,.852,30,371,35,163,72,43,20,65,1.11,23,8
歪炮 mvp Team,81/199,.407,55/68,.809,34,251,7,57,90,25,7,48,1.88,26,8
GUCCI GUCCI,134/311,.431,61/78,.782,51,380,22,119,95,31,8,52,1.83,27,8
江郎才尽 理屈词穷 黔驴技穷,107/198,.540,31/43,.721,43,288,29,135,74,29,13,44,1.68,29,8
Jinwei's Swag Team,139/305,.456,69/85,.812,38,385,34,163,112,27,44,65,1.72,27,8
立超's Notable Team,113/229,.493,36/45,.800,51,313,16,98,61,19,6,26,2.35,23,8
Jameson's Nifty Team,135/272,.496,52/69,.754,22,344,38,175,78,26,19,32,2.44,28,8
sean's Team,164/316,.519,66/76,.868,39,433,37,158,78,28,20,48,1.63,26,8
max,161/331,.486,69/82,.841,44,435,33,149,104,36,22,45,2.31,33,8
🍵茶🍵,135/282,.479,51/62,.823,51,372,30,148,113,32,18,61,1.85,26,8
脆皮队,176/373,.472,73/89,.820,50,475,35,145,94,19,16,62,1.52,24,8
YY,169/374,.452,85/119,.714,43,466,36,163,131,24,21,66,1.98,29,8
waterbro is godlike's Rad Team,83/182,.456,37/58,.638,36,239,31,101,56,17,12,34,1.65,24,8
想夺冠的联系我 Cash Only,104/219,.475,38/51,.745,32,278,19,90,40,23,7,25,1.60,23,8
INJ CAMP,161/340,.474,77/99,.778,55,454,24,133,123,33,15,76,1.62,32,8
SINCE’02,129/271,.476,38/61,.623,26,322,53,194,82,34,13,32,2.56,28,8
