Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,142/238,.597,36/53,.679,42,362,20,126,62,20,10,29,2.138,27,20
🍵茶🍵,168/343,.490,73/90,.811,68,477,49,195,128,31,14,66,1.939,33,20
GUCCI GUCCI,208/449,.463,128/152,.842,64,608,39,152,127,27,13,81,1.568,33,20
立超's Notable Team,75/198,.379,38/44,.864,22,210,13,66,47,15,3,27,1.741,24,20
Jinwei's Swag Team,122/272,.449,45/57,.789,43,332,31,108,90,23,17,34,2.647,33,20
想夺冠的联系我 Cash Only,90/198,.455,50/67,.746,23,253,21,93,72,19,11,32,2.250,25,20
Jameson's Nifty Team,148/281,.527,55/79,.696,35,386,37,134,77,19,26,41,1.878,33,20
YY,230/476,.483,71/91,.780,53,584,62,230,143,50,27,88,1.625,34,20
max,184/346,.532,50/65,.769,58,476,44,182,97,32,16,51,1.902,34,20
waterbro is godlike's Rad Team,116/221,.525,65/86,.756,38,335,28,131,46,16,19,40,1.150,33,20
sean's Team,96/197,.487,57/76,.750,28,277,17,96,75,13,10,29,2.586,29,20
INJ CAMP,128/273,.469,46/58,.793,37,339,27,124,102,19,13,48,2.125,36,20
脆皮队,131/293,.447,54/69,.783,51,367,25,116,71,16,18,27,2.630,33,20
SINCE’02,146/282,.518,67/86,.779,42,401,49,142,131,23,15,50,2.620,34,20
歪炮 mvp Team,77/158,.487,42/48,.875,27,223,15,63,59,16,9,29,2.034,28,20
江郎才尽 理屈词穷 黔驴技穷,125/257,.486,38/51,.745,40,328,40,154,90,18,19,41,2.195,27,20
