Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,213/438,.486,98/119,.824,53,577,49,202,96,39,27,68,1.41,39,2
waterbro is godlike's Rad Team,171/386,.443,88/116,.759,59,489,60,230,159,43,26,77,2.06,42,2
GUCCI GUCCI,264/537,.492,103/140,.736,97,728,44,217,123,32,18,72,1.71,39,2
想夺冠的联系我 Cash Only,213/437,.487,64/97,.660,54,544,42,179,114,38,24,53,2.15,38,2
Jinwei's Swag Team,176/377,.467,84/106,.792,55,491,42,216,163,40,37,60,2.72,41,2
max,212/437,.485,85/113,.752,46,555,67,270,137,40,27,62,2.21,43,2
Jameson's Nifty Team,202/392,.515,67/96,.698,56,527,48,199,101,33,16,56,1.80,40,2
SINCE’02,179/383,.467,81/103,.786,49,488,71,231,129,29,17,54,2.39,40,2
🍵茶🍵,203/455,.446,84/103,.816,66,556,66,232,165,40,22,72,2.29,42,2
江郎才尽 理屈词穷 黔驴技穷,121/264,.458,43/56,.768,32,317,45,178,96,24,29,35,2.74,40,2
立超's Notable Team,167/377,.443,107/129,.829,62,503,24,128,93,28,10,58,1.60,35,2
歪炮 mvp Team,145/360,.403,91/105,.867,56,437,27,142,131,29,16,71,1.85,34,2
sean's Team,200/469,.426,117/140,.836,62,579,44,214,107,33,14,76,1.41,42,2
YY,238/480,.496,91/115,.791,74,641,66,295,158,45,29,79,2.00,43,2
脆皮队,290/604,.480,122/160,.763,62,764,72,285,152,48,25,96,1.58,46,2
INJ CAMP,202/407,.496,59/74,.797,73,536,25,144,137,28,23,42,3.26,39,2
