Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,133/262,.508,65/72,.903,39,370,33,112,63,24,17,49,1.286,26,19
YY,175/395,.443,83/99,.838,53,486,40,188,154,37,15,64,2.406,30,19
GUCCI GUCCI,174/339,.513,74/83,.892,59,481,31,141,85,17,9,64,1.328,29,19
Jinwei's Swag Team,134/258,.519,60/85,.706,31,359,42,131,83,32,18,42,1.976,35,19
Jameson's Nifty Team,159/298,.534,51/71,.718,24,393,55,178,74,15,17,49,1.510,32,19
江郎才尽 理屈词穷 黔驴技穷,151/308,.490,65/82,.793,38,405,36,148,92,34,20,45,2.044,26,19
max,199/380,.524,77/91,.846,60,535,34,160,135,20,17,40,3.375,33,19
SINCE’02,148/286,.517,54/73,.740,25,375,49,131,101,33,22,51,1.980,31,19
🍵茶🍵,221/442,.500,86/113,.761,70,598,54,233,160,48,24,83,1.928,35,19
sean's Team,104/238,.437,50/56,.893,33,291,31,112,76,15,6,38,2.000,27,19
立超's Notable Team,75/164,.457,34/37,.919,37,221,18,72,47,8,7,26,1.808,24,19
脆皮队,198/420,.471,67/91,.736,47,510,34,174,108,25,12,51,2.118,33,19
waterbro is godlike's Rad Team,148/320,.463,68/89,.764,43,407,35,152,102,28,11,41,2.488,34,19
歪炮 mvp Team,112/274,.409,94/110,.855,50,368,34,96,120,28,14,54,2.222,30,19
INJ CAMP,124/253,.490,51/66,.773,36,335,44,145,86,23,13,40,2.150,34,19
想夺冠的联系我 Cash Only,103/210,.490,30/54,.556,25,261,27,129,56,16,9,32,1.750,27,19
