Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,276/532,.519,127/157,.809,59,738,63,253,164,55,41,79,2.08,53,16
SINCE’02,245/473,.518,87/108,.806,47,624,112,330,158,41,32,83,1.90,53,16
GUCCI GUCCI,292/690,.423,135/173,.780,109,828,50,239,157,47,24,100,1.57,51,16
sean's Team,232/526,.441,112/134,.836,76,652,49,216,153,37,23,74,2.07,52,16
Jinwei's Swag Team,185/394,.470,63/85,.741,61,494,62,240,111,34,45,59,1.88,53,16
歪炮 mvp Team,153/357,.429,95/118,.805,63,464,28,128,130,25,21,72,1.81,44,16
Jameson's Nifty Team,180/381,.472,106/131,.809,44,510,44,211,82,30,25,44,1.86,51,16
立超's Notable Team,188/393,.478,68/97,.701,64,508,32,154,100,18,11,35,2.86,39,16
max,284/570,.498,112/143,.783,81,761,83,272,187,47,60,84,2.23,50,16
INJ CAMP,217/489,.444,127/149,.852,63,624,41,194,164,35,21,79,2.08,46,16
🍵茶🍵,271/603,.449,109/146,.747,78,729,60,312,232,77,11,97,2.39,51,16
waterbro is godlike's Rad Team,219/458,.478,93/115,.809,64,595,53,212,146,34,28,70,2.09,51,16
脆皮队,318/641,.496,177/235,.753,86,899,62,298,131,37,31,85,1.54,52,16
想夺冠的联系我 Cash Only,199/409,.487,90/117,.769,57,545,42,206,125,39,17,78,1.60,49,16
YY,315/592,.532,138/172,.802,69,837,64,301,215,54,30,94,2.29,52,16
江郎才尽 理屈词穷 黔驴技穷,215/455,.473,69/92,.750,58,557,48,231,127,47,17,61,2.08,51,16
