Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,243/547,.444,115/152,.757,75,676,55,265,130,35,34,75,1.73,45,6
sean's Team,223/465,.480,108/126,.857,49,603,50,208,132,24,24,68,1.94,43,6
GUCCI GUCCI,238/506,.470,114/136,.838,78,668,44,242,125,39,21,71,1.76,40,6
SINCE’02,201/389,.517,105/132,.795,56,563,64,227,126,36,23,58,2.17,39,6
Jinwei's Swag Team,240/462,.519,78/96,.813,78,636,48,230,156,55,49,81,1.93,41,6
INJ CAMP,174/355,.490,64/82,.780,60,472,36,116,122,25,16,54,2.26,36,6
Jameson's Nifty Team,200/388,.515,69/92,.750,32,501,67,238,116,25,27,54,2.15,42,6
🍵茶🍵,177/386,.459,82/103,.796,49,485,71,225,143,47,23,54,2.65,40,6
max,204/415,.492,79/105,.752,49,536,61,224,130,45,27,63,2.06,41,6
江郎才尽 理屈词穷 黔驴技穷,177/386,.459,91/111,.820,74,519,32,165,111,28,30,59,1.88,40,6
立超's Notable Team,167/351,.476,70/88,.795,67,471,22,132,107,24,12,53,2.02,35,6
想夺冠的联系我 Cash Only,138/288,.479,38/58,.655,52,366,41,144,114,24,13,39,2.92,39,6
脆皮队,214/440,.486,74/100,.740,68,570,27,190,130,31,18,73,1.78,41,6
waterbro is godlike's Rad Team,198/401,.494,85/110,.773,77,558,48,196,153,34,31,72,2.13,40,6
YY,211/448,.471,80/105,.762,65,567,40,236,167,50,20,79,2.11,43,6
歪炮 mvp Team,117/278,.421,78/90,.867,47,359,23,110,118,21,13,60,1.97,37,6
