Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,173/376,.460,112/142,.789,42,500,42,172,100,38,20,54,1.85,33,1
SINCE’02,119/290,.410,60/81,.741,33,331,45,138,85,31,27,45,1.89,32,1
GUCCI GUCCI,191/407,.469,94/125,.752,83,559,38,177,100,28,8,62,1.61,32,1
sean's Team,176/399,.441,118/151,.781,47,517,46,231,90,22,22,66,1.36,31,1
Jinwei's Swag Team,130/316,.411,78/97,.804,39,377,48,182,108,41,24,59,1.83,34,1
歪炮 mvp Team,134/299,.448,117/135,.867,46,431,34,120,112,22,11,80,1.40,29,1
Jameson's Nifty Team,138/290,.476,73/97,.753,30,379,40,157,81,20,19,52,1.56,31,1
立超's Notable Team,175/369,.474,90/119,.756,67,507,34,123,102,29,11,50,2.04,29,1
max,156/325,.480,69/88,.784,40,421,51,192,113,36,30,59,1.92,33,1
INJ CAMP,143/333,.429,62/77,.805,45,393,22,132,83,19,20,52,1.60,33,1
🍵茶🍵,160/352,.455,65/92,.707,54,439,64,207,108,55,28,58,1.86,31,1
waterbro is godlike's Rad Team,151/341,.443,77/106,.726,47,426,49,203,89,30,33,54,1.65,32,1
脆皮队,159/337,.472,100/122,.820,56,474,37,179,101,21,16,63,1.60,30,1
想夺冠的联系我 Cash Only,154/335,.460,89/122,.730,38,435,32,138,91,25,15,53,1.72,34,1
YY,181/406,.446,76/102,.745,42,480,42,176,112,32,19,75,1.49,31,1
江郎才尽 理屈词穷 黔驴技穷,106/206,.515,49/63,.778,37,298,26,109,67,25,18,33,2.03,29,1
