Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,249/480,.519,148/179,.827,64,710,48,204,108,36,41,82,1.32,44,3
江郎才尽 理屈词穷 黔驴技穷,196/401,.489,70/86,.814,66,528,44,191,132,33,22,65,2.03,42,3
GUCCI GUCCI,271/564,.480,102/121,.843,99,743,53,237,140,33,25,93,1.51,44,3
INJ CAMP,182/390,.467,69/84,.821,63,496,36,149,112,24,15,54,2.07,42,3
Jinwei's Swag Team,208/443,.470,69/83,.831,59,544,59,260,112,44,48,74,1.51,43,3
脆皮队,232/479,.484,88/107,.822,51,603,44,229,126,34,14,70,1.80,43,3
Jameson's Nifty Team,237/471,.503,83/100,.830,54,611,66,237,117,37,28,61,1.92,40,3
waterbro is godlike's Rad Team,208/428,.486,112/140,.800,65,593,53,196,124,30,31,67,1.85,43,3
max,223/462,.483,79/117,.675,60,585,64,248,160,33,25,68,2.35,44,3
立超's Notable Team,211/463,.456,110/131,.840,80,612,23,149,127,39,22,80,1.59,39,3
🍵茶🍵,250/533,.469,110/138,.797,67,677,74,271,172,54,30,74,2.32,44,3
YY,223/445,.501,77/107,.720,55,578,39,242,184,37,34,76,2.42,42,3
sean's Team,207/439,.472,99/115,.861,49,562,57,258,130,36,19,75,1.73,42,3
想夺冠的联系我 Cash Only,213/449,.474,101/132,.765,84,611,46,194,128,42,18,61,2.10,44,3
SINCE’02,199/393,.506,84/99,.848,43,525,61,206,166,34,22,63,2.63,42,3
歪炮 mvp Team,169/413,.409,102/123,.829,55,495,36,139,148,32,13,83,1.78,37,3
