Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,56/107,.523,24/27,.889,13,149,19,65,23,5,5,11,2.091,10,18
江郎才尽 理屈词穷 黔驴技穷,60/112,.536,26/31,.839,23,169,7,60,29,12,5,15,1.933,8,18
GUCCI GUCCI,50/104,.481,22/24,.917,18,140,8,36,21,6,3,14,1.500,9,18
INJ CAMP,65/146,.445,22/31,.710,20,172,23,75,45,13,3,18,2.500,9,18
Jinwei's Swag Team,50/110,.455,16/19,.842,15,131,15,49,24,9,7,15,1.600,8,18
脆皮队,52/102,.510,15/21,.714,17,136,5,33,32,6,5,10,3.200,7,18
Jameson's Nifty Team,55/114,.482,22/31,.710,9,141,12,58,24,6,9,13,1.846,14,18
waterbro is godlike's Rad Team,30/59,.508,18/20,.900,13,91,5,35,24,4,3,13,1.846,9,18
max,29/60,.483,8/11,.727,9,75,7,28,27,6,2,7,3.857,7,18
立超's Notable Team,50/92,.543,20/21,.952,9,129,10,36,23,11,2,6,3.833,7,18
🍵茶🍵,56/115,.487,12/21,.571,13,137,17,58,41,10,0,16,2.562,10,18
YY,57/131,.435,37/43,.860,13,164,17,80,59,15,3,22,2.682,12,18
sean's Team,36/81,.444,29/39,.744,4,105,11,45,24,9,4,16,1.500,11,18
想夺冠的联系我 Cash Only,39/79,.494,19/26,.731,11,108,11,36,28,11,7,12,2.333,9,18
SINCE’02,56/103,.544,17/23,.739,9,138,17,57,42,9,7,17,2.471,13,18
歪炮 mvp Team,41/111,.369,23/26,.885,12,117,2,32,50,7,4,19,2.632,10,18
