Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,62/124,.500,24/31,.774,13,161,17,50,20,16,8,17,1.176,7,14
Jinwei's Swag Team,31/71,.437,25/32,.781,8,95,6,35,34,6,6,13,2.615,10,14
GUCCI GUCCI,47/92,.511,14/14,1.000,20,128,13,38,16,5,5,22,0.727,9,14
max,76/132,.576,18/23,.783,19,189,22,72,53,15,12,16,3.312,10,14
Jameson's Nifty Team,49/93,.527,11/17,.647,2,111,28,66,23,5,10,14,1.643,9,14
INJ CAMP,49/89,.551,18/22,.818,18,134,9,34,20,11,4,5,4.000,8,14
🍵茶🍵,42/89,.472,11/12,.917,8,103,13,56,45,9,4,13,3.462,8,14
立超's Notable Team,20/50,.400,17/17,1.000,8,65,2,13,15,1,1,6,2.500,7,14
sean's Team,41/100,.410,16/20,.800,11,109,7,37,18,5,4,12,1.500,8,14
脆皮队,75/157,.478,21/31,.677,22,193,7,43,40,5,4,23,1.739,10,14
waterbro is godlike's Rad Team,41/78,.526,6/10,.600,12,100,14,49,13,5,5,11,1.182,8,14
江郎才尽 理屈词穷 黔驴技穷,40/86,.465,9/14,.643,11,100,12,51,29,6,4,13,2.231,7,14
YY,72/157,.459,28/35,.800,10,182,9,64,54,11,4,23,2.348,10,14
SINCE’02,35/81,.432,18/24,.750,12,100,18,61,34,8,7,17,2.000,7,14
想夺冠的联系我 Cash Only,52/106,.491,19/28,.679,12,135,10,61,34,22,4,16,2.125,10,14
歪炮 mvp Team,26/59,.441,12/18,.667,13,77,6,23,23,4,1,17,1.353,8,14
