Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,6/9,.667,0/0,,3,15,0,2,5,2,2,2,2.500,0,4
YY,0/1,.000,4/4,1.000,0,4,0,7,1,1,1,1,1.000,0,4
GUCCI GUCCI,4/8,.500,0/0,,1,9,0,1,2,0,0,1,2.000,0,4
Jinwei's Swag Team,3/9,.333,0/0,,2,8,0,4,4,0,1,0,,0,4
Jameson's Nifty Team,5/9,.556,0/0,,0,10,1,5,2,0,0,1,2.000,0,4
江郎才尽 理屈词穷 黔驴技穷,3/8,.375,0/2,.000,1,7,0,2,5,2,0,1,5.000,0,4
max,8/12,.667,0/0,,3,19,2,7,2,0,1,0,,0,4
SINCE’02,6/11,.545,0/0,,0,12,2,6,4,0,0,0,,0,4
🍵茶🍵,7/10,.700,0/0,,1,15,2,6,4,2,1,1,4.000,0,4
sean's Team,3/11,.273,5/5,1.000,0,11,2,7,0,0,0,0,,0,4
立超's Notable Team,7/12,.583,2/2,1.000,4,20,0,3,3,1,0,0,,0,4
脆皮队,6/9,.667,0/0,,3,15,0,4,4,0,0,2,2.000,0,4
waterbro is godlike's Rad Team,0/0,,0/0,,0,0,0,0,0,0,0,0,,0,4
歪炮 mvp Team,3/5,.600,2/2,1.000,2,10,0,6,3,0,0,1,3.000,0,4
INJ CAMP,8/16,.500,2/2,1.000,2,20,1,3,7,0,0,0,,0,4
想夺冠的联系我 Cash Only,0/7,.000,3/4,.750,0,3,1,2,0,1,1,1,0.000,0,4
