Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,21/41,.512,10/14,.714,7,59,7,19,5,7,4,8,0.625,6,5
🍵茶🍵,22/53,.415,8/13,.615,5,57,6,20,17,3,3,11,1.545,5,5
GUCCI GUCCI,34/58,.586,9/9,1.000,15,92,5,30,15,1,3,4,3.750,4,5
立超's Notable Team,9/30,.300,11/14,.786,1,30,0,7,15,0,0,2,7.500,3,5
Jinwei's Swag Team,10/15,.667,5/6,.833,1,26,2,8,2,0,1,0,,0,5
想夺冠的联系我 Cash Only,13/24,.542,3/9,.333,2,31,3,17,11,1,6,10,1.100,2,5
Jameson's Nifty Team,19/40,.475,8/11,.727,2,48,9,27,8,1,0,3,2.667,6,5
YY,33/69,.478,13/17,.765,10,89,4,39,23,3,2,12,1.917,6,5
max,34/68,.500,4/6,.667,7,79,11,36,23,4,2,15,1.533,4,5
waterbro is godlike's Rad Team,19/43,.442,4/4,1.000,7,49,6,25,9,11,5,5,1.800,3,5
sean's Team,23/51,.451,17/17,1.000,6,69,7,25,8,1,3,4,2.000,3,5
INJ CAMP,25/41,.610,3/4,.750,11,64,2,19,17,4,5,2,8.500,3,5
脆皮队,42/78,.538,12/17,.706,19,115,6,29,14,1,3,8,1.750,4,5
SINCE’02,10/32,.312,6/7,.857,1,27,1,9,7,3,1,5,1.400,3,5
歪炮 mvp Team,11/24,.458,7/9,.778,2,31,0,11,14,6,2,6,2.333,4,5
江郎才尽 理屈词穷 黔驴技穷,31/70,.443,6/7,.857,9,77,17,39,17,1,3,4,4.250,4,5
