Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,144/319,.451,63/82,.768,37,388,29,128,64,32,17,42,1.524,29,10
脆皮队,101/214,.472,38/46,.826,29,269,23,107,69,15,12,28,2.464,30,10
GUCCI GUCCI,176/347,.507,94/121,.777,49,495,37,185,116,27,8,62,1.871,28,10
🍵茶🍵,151/330,.458,59/72,.819,46,407,35,174,109,41,14,55,1.982,28,10
Jinwei's Swag Team,136/280,.486,67/77,.870,35,374,32,145,131,33,23,59,2.220,28,10
waterbro is godlike's Rad Team,104/223,.466,42/53,.792,36,286,20,91,78,13,18,26,3.000,28,10
Jameson's Nifty Team,137/254,.539,42/69,.609,24,340,43,166,74,18,16,37,2.000,28,10
max,187/373,.501,83/96,.865,39,496,41,177,123,32,18,60,2.050,34,10
立超's Notable Team,102/236,.432,37/52,.712,47,288,17,78,52,22,4,35,1.486,22,10
SINCE’02,85/171,.497,35/47,.745,15,220,47,140,70,18,20,36,1.944,29,10
sean's Team,157/331,.474,55/61,.902,49,418,18,96,75,17,15,47,1.596,25,10
歪炮 mvp Team,83/183,.454,66/77,.857,34,266,15,65,48,12,10,44,1.091,23,10
YY,185/358,.517,56/79,.709,53,479,31,159,118,27,18,56,2.107,27,10
想夺冠的联系我 Cash Only,135/295,.458,37/59,.627,49,356,36,138,63,24,11,42,1.500,28,10
INJ CAMP,183/371,.493,98/111,.883,52,516,38,146,98,25,17,53,1.849,32,10
江郎才尽 理屈词穷 黔驴技穷,119/247,.482,37/46,.804,23,298,30,128,92,30,14,34,2.706,26,10
