Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,252/492,.512,147/177,.831,56,707,61,235,104,29,27,66,1.58,43,9
max,185/389,.476,80/95,.842,60,510,39,179,142,35,27,60,2.37,39,9
GUCCI GUCCI,276/586,.471,107/135,.793,71,730,59,262,168,39,23,111,1.51,41,9
YY,243/521,.466,118/142,.831,52,656,63,284,185,30,28,81,2.28,43,9
Jinwei's Swag Team,204/436,.468,74/101,.733,58,540,66,257,134,48,47,74,1.81,41,9
SINCE’02,129/280,.461,47/57,.825,40,345,49,181,82,22,25,37,2.22,40,9
Jameson's Nifty Team,195/375,.520,64/89,.719,40,494,58,234,76,29,34,53,1.43,41,9
歪炮 mvp Team,106/264,.402,83/97,.856,41,336,18,91,108,21,8,47,2.30,33,9
🍵茶🍵,204/413,.494,101/126,.802,68,577,55,233,158,42,20,62,2.55,41,9
脆皮队,239/480,.498,54/82,.659,70,602,37,149,117,38,11,56,2.09,38,9
立超's Notable Team,148/283,.523,49/55,.891,68,413,18,109,51,26,9,35,1.46,27,9
sean's Team,199/442,.450,91/102,.892,69,558,48,183,108,23,16,62,1.74,39,9
waterbro is godlike's Rad Team,143/315,.454,66/83,.795,39,391,51,173,116,15,15,50,2.32,42,9
INJ CAMP,238/482,.494,120/147,.816,72,668,49,175,147,43,20,66,2.23,40,9
想夺冠的联系我 Cash Only,108/278,.388,48/58,.828,34,298,34,111,60,28,10,43,1.40,34,9
江郎才尽 理屈词穷 黔驴技穷,136/296,.459,41/53,.774,58,371,34,137,104,28,20,46,2.26,36,9
