Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,177/388,.456,105/125,.840,39,498,37,171,130,27,21,46,2.83,38,13
sean's Team,219/448,.489,106/136,.779,53,597,41,187,133,25,19,55,2.42,39,13
GUCCI GUCCI,255/530,.481,120/154,.779,67,697,45,230,130,28,16,53,2.45,43,13
立超's Notable Team,157/313,.502,57/82,.695,30,401,42,192,114,23,26,41,2.78,31,13
Jinwei's Swag Team,190/400,.475,71/93,.763,43,494,54,214,154,34,31,59,2.61,40,13
waterbro is godlike's Rad Team,229/484,.473,91/114,.798,57,606,62,206,97,30,20,71,1.37,43,13
Hali Hali,179/372,.481,80/117,.684,49,487,33,155,132,35,23,50,2.64,41,13
江郎才尽 理屈词穷 黔驴技穷,211/440,.480,94/119,.790,65,581,43,188,148,34,16,50,2.96,40,13
max,159/309,.515,65/90,.722,46,429,40,167,123,27,35,61,2.02,34,13
YY,179/370,.484,68/87,.782,47,473,34,158,140,24,12,50,2.80,37,13
茶,199/403,.494,64/76,.842,65,527,39,218,115,23,18,53,2.17,38,13
志在参与,217/455,.477,102/127,.803,72,608,39,191,115,42,25,68,1.69,40,13
Reaper,227/444,.511,88/104,.846,66,608,50,174,110,28,18,61,1.80,37,13
SINCE’02,167/336,.497,89/117,.761,35,458,59,238,125,37,23,56,2.23,39,13
想夺冠的联系我 Cash Only,193/454,.425,99/114,.868,62,547,25,161,136,26,25,55,2.47,37,13
歪炮 mvp Team,207/428,.484,91/111,.820,61,566,32,194,131,21,32,74,1.77,39,13
