Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,223/436,.511,110/130,.846,52,608,35,193,124,53,34,71,1.75,41,9
GUCCI GUCCI,219/452,.485,110/124,.887,61,609,30,196,100,28,24,50,2.00,37,9
Jinwei's Swag Team,210/418,.502,72/78,.923,66,558,50,211,134,31,33,55,2.44,42,9
max,212/412,.515,68/95,.716,29,521,64,246,160,32,46,63,2.54,45,9
Hali Hali,214/434,.493,117/143,.818,41,586,53,191,159,26,33,67,2.37,43,9
想夺冠的联系我 Cash Only,245/474,.517,93/108,.861,99,682,34,173,123,31,26,56,2.20,41,9
茶,185/402,.460,59/73,.808,65,494,37,181,122,32,18,57,2.14,40,9
歪炮 mvp Team,209/428,.488,93/115,.809,68,579,51,210,161,44,19,71,2.27,42,9
立超's Notable Team,128/260,.492,59/73,.808,20,335,46,156,104,23,21,30,3.47,36,9
Reaper,164/373,.440,99/119,.832,46,473,45,152,99,31,9,53,1.87,38,9
sean's Team,223/448,.498,116/146,.795,46,608,63,227,161,34,23,65,2.48,41,9
YY,279/540,.517,99/118,.839,71,728,53,227,144,35,32,66,2.18,43,9
waterbro is godlike's Rad Team,225/479,.470,84/103,.816,80,614,56,227,112,31,26,59,1.90,39,9
江郎才尽 理屈词穷 黔驴技穷,229/463,.495,101/130,.777,69,628,47,186,119,37,22,65,1.83,40,9
志在参与,242/539,.449,93/111,.838,90,667,28,137,138,18,12,63,2.19,41,9
SINCE’02,222/430,.516,111/152,.730,54,609,67,274,162,32,29,60,2.70,41,9
