Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,159/292,.545,64/75,.853,32,414,29,109,79,15,19,33,2.39,28,6
max,133/261,.510,56/71,.789,33,355,33,150,95,25,38,47,2.02,30,6
GUCCI GUCCI,138/318,.434,80/101,.792,35,391,34,143,107,14,11,52,2.06,30,6
茶,119/251,.474,45/53,.849,41,324,35,133,64,37,22,49,1.31,30,6
Jinwei's Swag Team,113/259,.436,44/51,.863,39,309,40,147,77,26,16,41,1.88,27,6
歪炮 mvp Team,108/250,.432,59/74,.797,34,309,23,94,96,20,11,45,2.13,26,6
Hali Hali,149/302,.493,73/86,.849,28,399,29,134,92,13,12,43,2.14,24,6
YY,167/339,.493,87/111,.784,34,455,48,169,97,17,24,47,2.06,31,6
立超's Notable Team,120/231,.519,55/64,.859,32,327,31,100,54,14,16,25,2.16,22,6
SINCE’02,150/285,.526,77/100,.770,36,413,41,164,77,27,21,43,1.79,29,6
sean's Team,174/367,.474,106/123,.862,47,501,41,189,135,28,19,62,2.18,30,6
waterbro is godlike's Rad Team,96/186,.516,39/46,.848,30,261,26,97,81,19,12,17,4.76,25,6
Reaper,131/315,.416,81/95,.853,43,386,23,136,83,19,13,49,1.69,28,6
想夺冠的联系我 Cash Only,136/293,.464,66/77,.857,48,386,28,101,98,22,11,44,2.23,27,6
志在参与,152/327,.465,54/67,.806,47,405,25,132,84,26,17,44,1.91,28,6
江郎才尽 理屈词穷 黔驴技穷,156/327,.477,55/72,.764,43,410,40,166,91,23,13,42,2.17,28,6
