Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,43/106,.406,32/40,.800,10,128,8,46,36,11,3,14,2.57,11,18
茶,66/148,.446,29/39,.744,19,180,19,59,43,15,6,18,2.39,12,18
GUCCI GUCCI,48/85,.565,16/23,.696,10,122,5,45,15,6,6,13,1.15,9,18
Jinwei's Swag Team,57/124,.460,18/21,.857,16,148,21,68,32,8,9,19,1.68,12,18
Hali Hali,74/158,.468,30/42,.714,15,193,19,68,48,17,6,22,2.18,14,18
waterbro is godlike's Rad Team,58/133,.436,19/21,.905,17,152,15,53,25,5,6,23,1.09,10,18
max,45/91,.495,17/22,.773,8,115,23,82,48,6,10,23,2.09,11,18
歪炮 mvp Team,49/105,.467,12/13,.923,16,126,10,41,18,8,9,19,.95,11,18
立超's Notable Team,49/90,.544,13/22,.591,22,133,7,40,32,13,6,23,1.39,10,18
江郎才尽 理屈词穷 黔驴技穷,54/110,.491,19/25,.760,11,138,13,52,51,12,6,24,2.13,13,18
sean's Team,54/116,.466,23/31,.742,12,143,17,60,39,10,11,31,1.26,10,18
志在参与,65/159,.409,40/47,.851,26,196,15,74,44,13,9,33,1.33,15,18
Reaper,55/103,.534,12/20,.600,11,133,5,33,36,18,3,15,2.40,10,18
YY,83/149,.557,44/53,.830,24,234,16,73,48,10,12,31,1.55,13,18
想夺冠的联系我 Cash Only,62/149,.416,22/25,.880,23,169,11,67,48,15,5,16,3.00,13,18
SINCE’02,57/110,.518,19/26,.731,18,151,12,50,33,12,4,11,3.00,12,18
