Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,235/448,.525,120/143,.839,68,658,44,211,133,36,28,38,3.50,45,12
Jinwei's Swag Team,200/418,.478,87/99,.879,65,552,52,177,153,21,34,40,3.83,35,12
GUCCI GUCCI,221/447,.494,89/100,.890,66,597,32,203,118,30,16,74,1.59,38,12
歪炮 mvp Team,185/397,.466,94/112,.839,56,520,47,187,134,31,11,57,2.35,37,12
Hali Hali,219/413,.530,95/119,.798,47,580,44,209,117,23,22,62,1.89,38,12
立超's Notable Team,119/234,.509,49/70,.700,31,318,24,126,55,31,8,39,1.41,26,12
max,166/306,.542,48/78,.615,37,417,50,169,131,36,26,62,2.11,40,12
茶,192/387,.496,95/112,.848,77,556,49,223,123,26,24,55,2.24,40,12
sean's Team,155/320,.484,76/105,.724,32,418,29,138,111,26,16,40,2.78,38,12
想夺冠的联系我 Cash Only,222/437,.508,101/124,.815,93,638,23,155,158,25,20,47,3.36,40,12
Reaper,191/394,.485,93/120,.775,63,538,25,161,101,34,17,62,1.63,37,12
志在参与,178/410,.434,92/114,.807,58,506,34,159,106,36,23,53,2.00,32,12
waterbro is godlike's Rad Team,185/420,.440,100/122,.820,67,537,45,189,108,28,17,59,1.83,42,12
SINCE’02,209/402,.520,107/140,.764,47,572,64,248,170,43,26,68,2.50,39,12
YY,219/426,.514,83/102,.814,44,565,39,202,156,29,31,64,2.44,38,12
江郎才尽 理屈词穷 黔驴技穷,189/400,.473,70/94,.745,52,500,36,155,113,41,26,55,2.05,37,12
