Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,256/532,.481,162/194,.835,75,749,40,210,164,39,39,70,2.34,43,15
歪炮 mvp Team,242/519,.466,103/124,.831,75,662,48,227,154,37,29,90,1.71,44,15
GUCCI GUCCI,151/354,.427,62/75,.827,47,411,29,146,84,26,18,45,1.87,44,15
max,193/398,.485,79/102,.775,42,507,64,269,184,26,31,69,2.67,45,15
Jinwei's Swag Team,208/454,.458,75/87,.862,42,533,61,231,129,36,28,37,3.49,38,15
茶,212/461,.460,82/95,.863,64,570,48,246,159,36,15,67,2.37,44,15
Hali Hali,204/441,.463,61/89,.685,40,509,55,188,130,32,17,67,1.94,42,15
志在参与,244/468,.521,78/90,.867,84,650,50,206,107,29,20,55,1.95,42,15
立超's Notable Team,189/358,.528,54/76,.711,49,481,39,176,110,28,23,47,2.34,38,15
sean's Team,228/436,.523,102/137,.745,29,587,50,212,156,36,33,61,2.56,44,15
Reaper,311/628,.495,154/186,.828,88,864,63,231,161,36,30,86,1.87,43,15
waterbro is godlike's Rad Team,219/474,.462,87/110,.791,68,593,53,240,144,31,18,51,2.82,45,15
YY,269/524,.513,85/112,.759,69,692,62,232,142,34,26,59,2.41,44,15
SINCE’02,216/432,.500,110/152,.724,43,585,79,280,161,36,27,69,2.33,43,15
想夺冠的联系我 Cash Only,223/469,.475,92/111,.829,85,623,38,195,161,36,39,89,1.81,41,15
江郎才尽 理屈词穷 黔驴技穷,273/562,.486,111/149,.745,53,710,56,229,146,51,20,56,2.61,42,15
