Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,252/505,.499,136/158,.861,66,706,51,209,144,31,39,65,2.22,43,8
志在参与,243/537,.453,96/114,.842,103,685,31,176,129,41,11,71,1.82,45,8
GUCCI GUCCI,286/564,.507,147/167,.880,58,777,44,233,137,26,23,83,1.65,46,8
Hali Hali,236/504,.468,95/119,.798,64,631,42,191,194,29,22,77,2.52,43,8
Jinwei's Swag Team,220/447,.492,94/104,.904,79,613,65,246,134,42,31,52,2.58,45,8
江郎才尽 理屈词穷 黔驴技穷,209/442,.473,84/114,.737,63,565,40,190,130,38,19,80,1.63,44,8
max,174/325,.535,50/88,.568,36,434,73,262,111,40,31,71,1.56,42,8
SINCE’02,253/482,.525,144/193,.746,59,709,65,285,170,43,26,82,2.07,42,8
茶,215/470,.457,91/115,.791,71,592,39,166,149,33,10,53,2.81,47,8
sean's Team,246/491,.501,94/127,.740,58,644,61,224,165,48,25,91,1.81,46,8
立超's Notable Team,162/342,.474,86/107,.804,37,447,62,228,129,31,23,49,2.63,38,8
waterbro is godlike's Rad Team,209/438,.477,114/127,.898,69,601,53,188,144,39,13,56,2.57,43,8
Reaper,237/496,.478,119/147,.810,59,652,47,184,120,31,26,54,2.22,47,8
歪炮 mvp Team,222/467,.475,91/118,.771,70,605,67,253,157,39,35,82,1.91,44,8
YY,217/433,.501,97/114,.851,48,579,48,205,130,25,19,56,2.32,46,8
想夺冠的联系我 Cash Only,256/533,.480,150/177,.847,98,760,36,212,153,27,43,78,1.96,47,8
