Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,154/331,.465,74/92,.804,37,419,29,145,78,34,22,45,1.73,34,1
Reaper,161/372,.433,73/98,.745,52,447,38,184,82,21,15,45,1.82,31,1
GUCCI GUCCI,211/456,.463,106/129,.822,61,589,43,202,97,27,16,75,1.29,34,1
志在参与,161/354,.455,74/86,.860,73,469,27,117,90,31,12,53,1.70,30,1
Jinwei's Swag Team,162/349,.464,69/88,.784,48,441,44,182,84,31,23,57,1.47,34,1
YY,219/426,.514,101/134,.754,63,602,53,199,125,32,36,81,1.54,34,1
Hali Hali,129/300,.430,53/71,.746,36,347,28,154,98,29,18,58,1.69,28,1
SINCE’02,155/299,.518,77/104,.740,41,428,54,193,89,31,20,51,1.75,32,1
max,131/274,.478,46/75,.613,21,329,39,186,104,28,27,55,1.89,34,1
想夺冠的联系我 Cash Only,113/267,.423,47/58,.810,41,314,23,116,62,23,13,35,1.77,31,1
茶,127/292,.435,64/82,.780,32,350,56,193,72,25,26,41,1.76,32,1
waterbro is godlike's Rad Team,164/332,.494,68/90,.756,36,432,49,180,90,25,17,57,1.58,29,1
立超's Notable Team,141/308,.458,53/70,.757,31,366,39,144,131,39,18,39,3.36,28,1
歪炮 mvp Team,152/380,.400,82/105,.781,51,437,36,150,116,24,11,63,1.84,33,1
sean's Team,173/343,.504,55/79,.696,29,430,50,213,111,26,19,76,1.46,31,1
江郎才尽 理屈词穷 黔驴技穷,153/351,.436,61/79,.772,47,414,53,164,104,27,19,55,1.89,29,1
