Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,245/502,.488,122/144,.847,49,661,63,227,150,41,22,73,2.05,42,14
waterbro is godlike's Rad Team,221/470,.470,88/113,.779,60,590,59,228,109,33,26,53,2.06,42,14
GUCCI GUCCI,268/507,.529,121/142,.852,61,718,45,214,102,29,15,66,1.55,41,14
江郎才尽 理屈词穷 黔驴技穷,200/418,.478,82/106,.774,40,522,43,164,121,25,24,38,3.18,40,14
Jinwei's Swag Team,167/347,.481,54/71,.761,40,428,46,169,131,25,29,45,2.91,40,14
Reaper,288/556,.518,97/131,.740,73,746,54,217,186,39,27,71,2.62,43,14
Hali Hali,160/313,.511,69/92,.750,31,420,30,143,127,26,13,39,3.26,36,14
max,162/321,.505,69/89,.775,58,451,39,191,144,30,37,65,2.22,39,14
茶,218/435,.501,76/91,.835,81,593,37,202,117,30,18,58,2.02,43,14
SINCE’02,236/447,.528,88/128,.688,46,606,67,284,152,26,29,64,2.38,40,14
立超's Notable Team,117/238,.492,29/46,.630,37,300,32,128,88,24,13,51,1.73,33,14
想夺冠的联系我 Cash Only,211/474,.445,129/157,.822,70,621,43,230,136,30,35,62,2.19,42,14
sean's Team,199/387,.514,94/116,.810,40,532,36,217,134,21,27,54,2.48,40,14
歪炮 mvp Team,241/500,.482,139/170,.818,74,695,41,176,146,32,23,87,1.68,42,14
YY,183/386,.474,89/112,.795,49,504,48,205,133,23,25,54,2.46,42,14
志在参与,250/513,.487,107/143,.748,99,706,40,178,107,47,16,53,2.02,39,14
