Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,300/588,.510,114/138,.826,78,792,47,239,171,51,40,87,1.97,51,17
立超's Notable Team,135/292,.462,81/110,.736,38,389,49,181,98,26,20,51,1.92,48,17
GUCCI GUCCI,186/411,.453,78/100,.780,57,507,53,208,79,29,18,53,1.49,46,17
SINCE’02,279/566,.493,140/185,.757,60,758,66,314,175,56,41,78,2.24,51,17
Jinwei's Swag Team,197/441,.447,59/69,.855,70,523,50,222,120,37,18,54,2.22,53,17
Hali Hali,268/557,.481,115/147,.782,69,720,40,240,175,38,21,76,2.30,49,17
max,278/556,.500,80/107,.748,63,699,103,375,271,57,54,102,2.66,54,17
sean's Team,324/674,.481,119/151,.788,83,850,62,270,246,65,26,111,2.22,57,17
茶,304/646,.471,112/140,.800,95,815,88,350,195,64,37,90,2.17,55,17
Reaper,283/595,.476,137/179,.765,71,774,69,286,182,42,42,102,1.78,54,17
waterbro is godlike's Rad Team,267/569,.469,78/101,.772,80,692,57,279,177,37,26,72,2.46,55,17
YY,276/563,.490,93/113,.823,60,705,62,291,172,40,29,102,1.69,50,17
志在参与,281/608,.462,102/131,.779,92,756,81,247,158,48,24,81,1.95,49,17
想夺冠的联系我 Cash Only,267/600,.445,127/142,.894,115,776,51,243,197,44,27,88,2.24,51,17
歪炮 mvp Team,273/603,.453,134/162,.827,81,761,49,277,160,50,50,86,1.86,52,17
江郎才尽 理屈词穷 黔驴技穷,301/617,.488,100/140,.714,74,776,53,246,227,54,29,100,2.27,49,17
