Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,226/467,.484,88/108,.815,50,590,37,180,150,36,42,70,2.14,41,21
max,165/333,.495,77/92,.837,53,460,72,277,139,29,24,50,2.78,43,21
GUCCI GUCCI,133/268,.496,44/56,.786,45,355,30,114,61,23,18,36,1.69,35,21
茶,175/409,.428,73/90,.811,61,484,37,159,157,43,20,71,2.21,41,21
Jinwei's Swag Team,208/415,.501,41/51,.804,71,528,60,183,112,29,33,49,2.29,41,21
歪炮 mvp Team,186/395,.471,80/106,.755,50,502,41,175,83,28,20,55,1.51,40,21
Hali Hali,255/537,.475,103/143,.720,61,674,48,233,161,42,26,63,2.56,44,21
YY,227/463,.490,89/111,.802,48,591,53,240,145,40,23,70,2.07,41,21
立超's Notable Team,113/225,.502,31/45,.689,42,299,28,115,86,19,10,26,3.31,31,21
SINCE’02,204/397,.514,71/109,.651,33,512,77,274,129,41,35,71,1.82,36,21
sean's Team,179/355,.504,76/95,.800,22,456,45,171,124,19,14,79,1.57,42,21
waterbro is godlike's Rad Team,176/368,.478,69/90,.767,62,483,32,182,96,20,13,43,2.23,33,21
Reaper,219/437,.501,83/102,.814,44,565,29,171,139,34,19,70,1.99,37,21
想夺冠的联系我 Cash Only,197/418,.471,92/106,.868,81,567,32,161,126,33,14,52,2.42,38,21
志在参与,176/391,.450,68/81,.840,71,491,28,134,81,20,10,60,1.35,36,21
江郎才尽 理屈词穷 黔驴技穷,162/349,.464,67/82,.817,45,436,32,149,102,30,10,41,2.49,44,21
