Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,215/423,.508,112/139,.806,53,595,39,229,116,34,41,62,1.87,42,11
想夺冠的联系我 Cash Only,202/468,.432,106/125,.848,87,597,30,174,167,34,15,70,2.39,45,11
GUCCI GUCCI,236/469,.503,126/162,.778,68,666,31,170,112,33,22,75,1.49,40,11
sean's Team,161/349,.461,67/96,.698,34,423,43,175,131,36,19,65,2.02,42,11
Jinwei's Swag Team,173/352,.491,73/93,.785,53,472,57,174,136,35,30,52,2.62,41,11
SINCE’02,229/433,.529,116/155,.748,47,621,50,270,172,48,45,74,2.32,45,11
Hali Hali,218/429,.508,101/134,.754,60,597,33,188,171,51,26,76,2.25,39,11
歪炮 mvp Team,202/451,.448,128/170,.753,53,585,56,220,123,28,33,72,1.71,41,11
max,199/411,.484,60/92,.652,65,523,58,233,149,36,36,71,2.10,45,11
Reaper,221/451,.490,83/101,.822,54,579,39,186,137,27,15,64,2.14,43,11
茶,242/477,.507,77/93,.828,92,653,55,206,129,23,22,59,2.19,43,11
江郎才尽 理屈词穷 黔驴技穷,244/540,.452,114/146,.781,61,663,50,202,148,27,17,66,2.24,42,11
立超's Notable Team,193/376,.513,82/110,.745,64,532,53,202,123,40,25,76,1.62,38,11
YY,262/531,.493,128/161,.795,55,707,64,259,168,37,17,79,2.13,45,11
waterbro is godlike's Rad Team,177/403,.439,81/101,.802,61,496,40,210,122,21,23,52,2.35,44,11
志在参与,263/560,.470,115/132,.871,96,737,47,214,134,49,16,74,1.81,45,11
