Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,228/467,.488,144/168,.857,51,651,54,196,145,40,30,62,2.34,40,5
YY,183/393,.466,99/123,.805,31,496,52,203,111,23,17,58,1.91,41,5
GUCCI GUCCI,233/497,.469,135/160,.844,66,667,43,218,140,24,27,70,2.00,40,5
Reaper,177/380,.466,65/78,.833,68,487,22,131,100,19,19,58,1.72,42,5
Jinwei's Swag Team,163/365,.447,61/81,.753,49,436,68,234,117,40,28,38,3.08,40,5
sean's Team,242/484,.500,119/154,.773,48,651,55,199,165,36,26,79,2.09,40,5
Hali Hali,202/438,.461,96/123,.780,60,560,40,190,155,23,28,66,2.35,36,5
茶,204/432,.472,98/120,.817,66,572,53,234,142,50,17,67,2.12,44,5
max,152/296,.514,65/89,.730,38,407,52,205,108,35,27,67,1.61,38,5
江郎才尽 理屈词穷 黔驴技穷,258/489,.528,68/92,.739,53,637,62,224,124,29,30,55,2.25,38,5
立超's Notable Team,133/312,.426,62/83,.747,41,369,65,188,115,27,25,43,2.67,37,5
志在参与,228/478,.477,89/105,.848,87,632,43,188,115,26,20,71,1.62,41,5
waterbro is godlike's Rad Team,193/399,.484,87/111,.784,42,515,55,193,113,34,17,54,2.09,42,5
想夺冠的联系我 Cash Only,139/307,.453,90/111,.811,59,427,29,121,91,33,20,52,1.75,35,5
SINCE’02,177/370,.478,95/125,.760,35,484,61,212,111,32,21,57,1.95,38,5
歪炮 mvp Team,263/542,.485,137/159,.862,90,753,39,199,152,42,29,85,1.79,44,5
