Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,208/434,.479,101/127,.795,57,574,40,141,99,31,27,49,2.02,39,16
Reaper,242/494,.490,85/115,.739,51,620,37,224,130,37,22,80,1.63,39,16
GUCCI GUCCI,166/348,.477,61/78,.782,50,443,31,121,80,23,24,40,2.00,36,16
志在参与,229/485,.472,69/86,.802,96,623,45,195,118,28,21,73,1.62,39,16
Jinwei's Swag Team,170/346,.491,60/81,.741,40,440,42,164,92,23,29,46,2.00,39,16
YY,193/384,.503,76/89,.854,44,506,33,185,114,18,22,56,2.04,38,16
Hali Hali,219/410,.534,58/89,.652,61,557,37,194,136,28,22,71,1.92,34,16
SINCE’02,219/425,.515,91/124,.734,58,587,40,207,150,34,21,56,2.68,43,16
max,213/412,.517,62/83,.747,50,538,75,291,193,36,31,81,2.38,42,16
想夺冠的联系我 Cash Only,158/349,.453,78/91,.857,63,457,31,165,118,35,30,50,2.36,37,16
茶,192/380,.505,77/92,.837,75,536,33,176,142,24,12,41,3.46,36,16
waterbro is godlike's Rad Team,173/367,.471,64/76,.842,56,466,46,180,98,35,18,59,1.66,35,16
立超's Notable Team,157/305,.515,46/60,.767,47,407,29,142,77,23,23,39,1.97,36,16
歪炮 mvp Team,182/374,.487,57/75,.760,70,491,26,154,106,27,17,52,2.04,34,16
sean's Team,216/435,.497,94/125,.752,42,568,48,182,182,28,21,61,2.98,37,16
江郎才尽 理屈词穷 黔驴技穷,203/403,.504,64/87,.736,51,521,42,171,135,38,15,48,2.81,38,16
